Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,18,-158.00,-148.00,0,0.300000,16,7
1,20,-210.00,-220.00,0,0.299100,20,3
2,20,-80.00,-90.00,0,0.298203,11,4
3,3,78.00,38.00,1,0.297308,1,0
4,20,-30.00,0.00,0,0.296416,13,7
5,20,-160.00,-170.00,0,0.295527,18,3
6,20,-160.00,67.00,0,0.294640,17,1
7,20,106.00,6.00,0,0.293756,7,8
8,2,100.00,100.00,1,0.292875,0,0
9,20,-45.00,-205.00,0,0.291997,19,1
10,20,-47.00,-57.00,0,0.291121,4,15
11,20,-200.00,-180.00,0,0.290247,18,5
12,11,29.00,-10.00,1,0.289376,6,2
13,0,0.00,0.00,1,0.288508,0,0
14,20,-19.00,-19.00,0,0.287643,11,2
15,20,-180.00,-150.00,0,0.286780,18,6
16,20,-185.00,14.00,0,0.285920,18,4
17,1,50.00,50.00,1,0.285062,0,0
18,5,89.00,99.00,1,0.284207,2,1
19,20,-70.00,-190.00,0,0.283354,18,4
20,20,-12.00,28.00,0,0.282504,12,3
21,20,-175.00,-185.00,0,0.281656,17,6
22,20,157.00,-89.00,0,0.280811,6,17
23,0,0.00,0.00,1,0.279969,0,0
24,20,-88.00,-58.00,0,0.279129,16,6
25,20,-185.00,-195.00,0,0.278292,19,3
26,20,-180.00,-19.00,0,0.277457,18,4
27,20,-46.00,-46.00,0,0.276624,13,2
28,2,100.00,100.00,1,0.275795,0,0
29,20,-160.00,-180.00,0,0.274967,20,4
30,20,42.00,22.00,0,0.274142,10,3
31,20,-175.00,-165.00,0,0.273320,11,10
32,2,39.00,49.00,1,0.272500,1,1
33,2,100.00,100.00,1,0.271682,0,0
34,20,11.00,21.00,0,0.270867,11,0
35,20,-170.00,-190.00,0,0.270055,20,1
36,20,-145.00,9.00,0,0.269245,14,7
37,20,-135.00,39.00,0,0.268437,13,3
38,2,100.00,100.00,1,0.267632,0,0
