profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,0,3,50.0,50.0,50.0,0.0,0.0,0.0
lab1_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,0,3,50.0,50.0,50.0,0.0,0.0,0.0
lab2_f1bdead,ql_false,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.99,10,1.0,0.0,0,,3,162.3,91.1,249.8,6.0,6.0,6.0
lab2_f1bdead,ql_true,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,0.0,0,,3,58.4,50.0,69.2,6.0,6.0,6.0
lab2_f1binv,ql_false,10,,http://example.org/was#SetZ1Blinds,True,descriptive,1.0,1.0,10,10,0.0,0,0.0,1.0,10,2,3,215.1,176.1,255.7,6.0,6.0,6.0
lab2_f1binv,ql_true,10,,http://example.org/was#SetZ1Blinds,True,descriptive,1.0,1.0,10,10,0.0,0,0.0,1.0,10,2,3,332.3,261.9,396.5,6.0,6.0,6.0
lab2_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.86,9,0.9,1.0,10,0,3,190.3,123.1,281.4024999999999,0.3,0.0,0.9
lab2_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.95,10,1.0,1.0,10,0,3,111.1,96.7,123.6,0.0,0.0,0.0
lab2_f1inv,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.945,10,1.0,1.0,10,0,3,155.8,120.0,198.1,0.3,0.0,0.9
lab2_f1inv,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.95,10,1.0,1.0,10,0,3,98.5,82.4,114.6,0.0,0.0,0.0
lab2_f2dead,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.995,10,1.0,1.0,10,0,3,73.3,64.6,82.1,0.0,0.0,0.0
lab2_f2dead,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.995,10,1.0,1.0,10,0,3,86.4,77.6,95.2,0.0,0.0,0.0
lab2_f2inv,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.57,5,0.5,1.0,10,0,3,200.1,116.39750000000001,304.4049999999999,0.0,0.0,0.0
lab2_f2inv,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.735,7,0.7,1.0,10,0,3,304.3,83.1,533.6,0.0,0.0,0.0
lab3_f1bdead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2bdead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
