profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab4,ql_true,auc_goal,primary,higher_better,20,0.98702900966989,0.9848949649883295,0.9892468322774258
lab4,ql_true,auc_reward,secondary,higher_better,20,237.03152717572524,236.0085970323441,237.97701942314103
lab4,ql_true,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab4,ql_true,mean_first_goal,secondary,lower_better,20,1409.3921191883169,1399.8936213667594,1419.7223556546114
lab4,ql_false,auc_goal,primary,higher_better,20,0.9824941647215738,0.9789094281427142,0.9859705318439479
lab4,ql_false,auc_reward,secondary,higher_better,20,222.32926808936313,219.2696469656552,225.2734225991998
lab4,ql_false,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab4,ql_false,mean_first_goal,secondary,lower_better,20,1413.4360249959,1398.4260879589945,1428.8141648877943
lab5,ql_true,auc_goal,primary,higher_better,20,0.9870716518535815,0.9844539283116416,0.9896299247067171
lab5,ql_true,auc_reward,secondary,higher_better,20,201.8072815295522,200.77872415805265,202.9174829875327
lab5,ql_true,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab5,ql_true,mean_first_goal,secondary,lower_better,20,1402.2684191337885,1373.7917147854464,1430.054364739806
lab5,ql_false,auc_goal,primary,higher_better,20,0.9873398749837591,0.9857917873133001,0.9888987279347428
lab5,ql_false,auc_reward,secondary,higher_better,20,184.96782331798232,182.39704248240295,187.62661498078134
lab5,ql_false,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab5,ql_false,mean_first_goal,secondary,lower_better,20,1401.3680316844955,1357.9628058672572,1443.6320090148693
