profile,backend,seed,scenario_id,sunshine,goal_reached,steps,redundant_actions,steady_power,energy_budget,compliant,trace
lab5,general,1,1,0,1,2,0,8.0,2.0,0,SetZ1Ineff=true;SetZ2Ineff=true
lab5,general,1,2,0,1,0,0,2.0,2.0,1,
lab5,general,1,3,0,1,1,0,5.0,2.0,0,SetZ1Ineff=true
lab5,general,1,4,0,1,0,0,8.0,2.0,0,
lab5,general,1,5,100,1,2,0,8.0,2.0,0,SetZ1Ineff=true;SetZ2Ineff=true
lab5,general,1,6,100,1,0,0,2.0,2.0,1,
lab5,general,1,7,100,1,1,0,2.0,2.0,1,SetZ2Eff=true
lab5,general,1,8,100,1,1,1,5.0,2.0,0,SetZ1Eff=false
lab5,general,1,9,400,1,2,0,4.0,2.0,0,SetZ1Blinds=true;SetZ1Ineff=true
lab5,general,1,10,400,1,0,0,2.0,2.0,1,
lab5,general,1,11,400,1,1,0,1.0,2.0,1,SetZ1Blinds=true
lab5,general,1,12,400,1,0,0,5.0,2.0,0,
lab5,general,1,13,900,1,1,0,0.0,2.0,1,SetZ1Blinds=true
lab5,general,1,14,900,1,0,0,2.0,2.0,1,
lab5,general,1,15,900,1,0,0,8.0,2.0,0,
lab5,general,1,16,900,1,0,0,0.0,2.0,1,
lab5,general,2,1,0,1,2,0,2.0,2.0,1,SetZ1Eff=true;SetZ2Eff=true
lab5,general,2,2,0,1,0,0,2.0,2.0,1,
lab5,general,2,3,0,1,1,0,2.0,2.0,1,SetZ1Eff=true
lab5,general,2,4,0,1,0,0,8.0,2.0,0,
lab5,general,2,5,100,1,2,0,5.0,2.0,0,SetZ1Eff=true;SetZ2Ineff=true
lab5,general,2,6,100,1,0,0,2.0,2.0,1,
lab5,general,2,7,100,1,1,0,2.0,2.0,1,SetZ2Eff=true
lab5,general,2,8,100,1,1,1,5.0,2.0,0,SetZ1Eff=false
lab5,general,2,9,400,1,2,0,4.0,2.0,0,SetZ1Blinds=true;SetZ1Ineff=true
lab5,general,2,10,400,1,0,0,2.0,2.0,1,
lab5,general,2,11,400,1,1,0,1.0,2.0,1,SetZ1Blinds=true
lab5,general,2,12,400,1,0,0,5.0,2.0,0,
lab5,general,2,13,900,1,1,0,0.0,2.0,1,SetZ1Blinds=true
lab5,general,2,14,900,1,0,0,2.0,2.0,1,
lab5,general,2,15,900,1,0,0,8.0,2.0,0,
lab5,general,2,16,900,1,0,0,0.0,2.0,1,
lab5,general,3,1,0,1,2,0,5.0,2.0,0,SetZ1Ineff=true;SetZ2Eff=true
lab5,general,3,2,0,1,0,0,2.0,2.0,1,
lab5,general,3,3,0,1,1,0,2.0,2.0,1,SetZ1Eff=true
lab5,general,3,4,0,1,0,0,8.0,2.0,0,
lab5,general,3,5,100,1,2,0,5.0,2.0,0,SetZ1Ineff=true;SetZ2Eff=true
lab5,general,3,6,100,1,0,0,2.0,2.0,1,
lab5,general,3,7,100,1,1,0,2.0,2.0,1,SetZ2Eff=true
lab5,general,3,8,100,1,1,1,5.0,2.0,0,SetZ1Eff=false
lab5,general,3,9,400,1,2,0,1.0,2.0,1,SetZ1Blinds=true;SetZ1Eff=true
lab5,general,3,10,400,1,0,0,2.0,2.0,1,
lab5,general,3,11,400,1,1,0,1.0,2.0,1,SetZ1Blinds=true
lab5,general,3,12,400,1,0,0,5.0,2.0,0,
lab5,general,3,13,900,1,1,0,0.0,2.0,1,SetZ1Blinds=true
lab5,general,3,14,900,1,0,0,2.0,2.0,1,
lab5,general,3,15,900,1,0,0,8.0,2.0,0,
lab5,general,3,16,900,1,0,0,0.0,2.0,1,
lab5,general,4,1,0,1,2,0,5.0,2.0,0,SetZ1Ineff=true;SetZ2Eff=true
lab5,general,4,2,0,1,0,0,2.0,2.0,1,
