profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4,ql_false,80,0.875,3.1875,5.0,16.7625,3.1875,0.25,3.4375,0,0,0,0,0
lab4,ql_true,80,1.0,0.875,2.8125,13.0,0.7875,0.3125,1.1,0,0,0,0,0
lab4,rule_based,80,1.0,1.125,2.75,12.525,1.1,0.5625,1.6625,0,0,0,0,0
lab4,training_stereo_false,,,,,,,,,0,0,0,0,0
lab4,training_stereo_true,,,,,,,,,0,0,0,0,0
lab5,ql_false,80,1.0,0.6875,2.125,18.55,0.6375,0.25,0.8875,0,0,0,0,0
lab5,ql_true,80,0.9375,2.0,3.625,22.0125,2.0,0.375,2.375,0,0,0,0,0
lab5,rule_based,80,1.0,0.6875,1.9375,17.8125,0.6375,0.25,0.8875,0,0,0,0,0
lab5,training_stereo_false,,,,,,,,,0,0,0,0,0
lab5,training_stereo_true,,,,,,,,,0,0,0,0,0
