profile,mode,n_replicas,mean_scenarios,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,energy_compliance_mean,energy_compliance_ci_lo,energy_compliance_ci_hi,mean_steady_power_mean,mean_steady_power_ci_lo,mean_steady_power_ci_hi,over_budget_rate_mean,over_budget_rate_ci_lo,over_budget_rate_ci_hi
lab4,ql_false,20,80.0,0.990625,0.98125,1.0,0.990625,0.98125,1.0,nan,nan,nan,nan,nan,nan
lab4,ql_true,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
lab4,rule_based,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
lab4chain,ql_false,20,80.0,0.9418749999999999,0.925,0.9587499999999999,0.9418749999999999,0.925,0.9587499999999999,nan,nan,nan,nan,nan,nan
lab4chain,ql_true,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
lab4chain,rule_based,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
lab4dual,ql_false,20,80.0,0.965625,0.95,0.98125,0.965625,0.95,0.98125,nan,nan,nan,nan,nan,nan
lab4dual,ql_true,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
lab4dual,rule_based,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
lab5,ql_false,20,80.0,0.978125,0.965625,0.990625,0.695,0.6643749999999999,0.7306250000000001,1.553125,1.401859375,1.70125,0.28875,0.250625,0.321875
lab5,ql_true,20,80.0,0.984375,0.971875,0.99375,0.790625,0.76875,0.815625,1.121875,1.046875,1.203125,0.19625,0.17041666666666666,0.22062500000000002
lab5,rule_based,20,80.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.0,0.0,0.0
