profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,lower_is_better,p_bootstrap,p_wilcoxon,cliffs_delta,ql_true_better,q_bootstrap_bh,bh_family_m
lab4,goal_rate,20,1.0,0.990625,0.009375,0.0,0.01875,False,0.077,0.0832645166635504,0.15,True,0.08555555555555555,10
lab4,energy_compliance,20,1.0,0.990625,0.009375,0.0,0.01875,False,0.077,0.0832645166635504,0.15,True,0.08555555555555555,10
lab4dual,goal_rate,20,1.0,0.965625,0.034375,0.01875,0.05,False,0.0,0.0022819372533154484,0.5,True,0.0,10
lab4dual,energy_compliance,20,1.0,0.965625,0.034375,0.01875,0.05,False,0.0,0.0022819372533154484,0.5,True,0.0,10
lab4chain,goal_rate,20,1.0,0.9418749999999999,0.058125,0.041249999999999995,0.075,False,0.0,0.0002155306457241846,0.8,True,0.0,10
lab4chain,energy_compliance,20,1.0,0.9418749999999999,0.058125,0.041249999999999995,0.075,False,0.0,0.0002155306457241846,0.8,True,0.0,10
lab5,goal_rate,20,0.984375,0.978125,0.00625,-0.009375,0.021875,False,0.5298,0.4142161782425253,0.1,True,0.5298,10
lab5,energy_compliance,20,0.790625,0.695,0.09562499999999999,0.059375,0.13374999999999998,False,0.0,0.0007090395753404725,0.7,True,0.0,10
lab5,mean_steady_power,20,1.121875,1.553125,-0.43125,-0.5937812499999999,-0.271875,True,0.0,0.00046093434214296953,-0.7125,True,0.0,10
lab5,over_budget_rate,20,0.19625,0.28875,-0.0925,-0.13291666666666666,-0.051869791666666734,True,0.0,0.0011766591534564182,-0.6925,True,0.0,10
