profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_energy_mean,avg_energy_ci_lo,avg_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4,ql_false,20,0.990625,0.98125,1.0,1.1525,0.9731249999999999,1.3649999999999998,3.17375,2.9368749999999997,3.459375,12.798125,12.338750000000001,13.304999999999998,1.096875,0.919984375,1.3074999999999999,0.40499999999999997,0.36125,0.448125,1.5018749999999998,1.3106250000000002,1.7237499999999997
lab4,ql_true,20,1.0,1.0,1.0,0.89375,0.88125,0.909375,2.846875,2.821875,2.878203124999999,13.330000000000002,13.203125,13.465625,0.8443750000000001,0.826234375,0.8637499999999999,0.33125,0.31875,0.346875,1.175625,1.145625,1.2106249999999998
lab4,rule_based,20,1.0,1.0,1.0,1.125,1.125,1.125,2.75,2.75,2.75,12.545000000000002,12.444999999999999,12.653749999999999,1.0537499999999997,1.04,1.0675,0.5625,0.5625,0.5625,1.6162500000000002,1.6024999999999998,1.6300000000000001
lab4chain,ql_false,20,0.9418749999999999,0.925,0.9587499999999999,2.195625,1.8981250000000003,2.4875,4.476875000000001,4.1675,4.775625000000001,14.931875000000002,14.216859374999999,15.64625,2.153125,1.85625,2.4431249999999998,0.606875,0.47062500000000007,0.7831250000000001,2.7600000000000002,2.41684375,3.09625
lab4chain,ql_true,20,1.0,1.0,1.0,0.9550000000000001,0.9400000000000001,0.9743749999999999,2.9099999999999997,2.88,2.9487499999999995,13.434375,13.306234375,13.575624999999999,0.9093749999999998,0.8956250000000001,0.925,0.3925,0.3775,0.41187500000000005,1.301875,1.275,1.3356406250000001
lab4chain,rule_based,20,1.0,1.0,1.0,1.4375,1.4375,1.4375,3.0625,3.0625,3.0625,13.330625000000001,13.245625,13.408750000000001,1.3824999999999998,1.373125,1.391875,0.875,0.875,0.875,2.2575,2.248125,2.2668749999999998
lab4dual,ql_false,20,0.965625,0.95,0.98125,1.98,1.685,2.296265625,4.98875,4.56559375,5.4150156250000006,14.519375000000002,13.774359375000001,15.298140624999995,1.935,1.642484375,2.24878125,0.730625,0.67625,0.7837500000000001,2.6656249999999995,2.3587499999999997,2.9875
lab4dual,ql_true,20,1.0,1.0,1.0,1.1712500000000001,1.141859375,1.206875,3.7175000000000002,3.65871875,3.7887500000000003,14.363125000000002,14.141874999999999,14.606874999999999,1.1231249999999997,1.0875,1.1643750000000002,0.6087499999999999,0.579359375,0.6443749999999999,1.7318749999999998,1.6674999999999998,1.8087499999999999
lab4dual,rule_based,20,1.0,1.0,1.0,1.5625,1.5625,1.5625,5.125,5.125,5.125,12.60625,12.519375,12.694374999999999,1.5,1.488125,1.5106249999999999,1.0,1.0,1.0,2.4999999999999996,2.4881249999999993,2.510625
lab5,ql_false,20,0.978125,0.965625,0.990625,1.1712500000000001,0.9356250000000002,1.415,2.5837499999999998,2.328125,2.84375,22.479374999999997,20.7825,24.5325625,1.1350000000000002,0.9000000000000001,1.3775,0.316875,0.285625,0.350625,1.4518750000000002,1.2193750000000003,1.6943750000000002
lab5,ql_true,20,0.984375,0.971875,0.99375,1.128125,0.946875,1.3313281249999989,3.01875,2.859375,3.1625,19.895625000000003,19.498750000000005,20.300625000000004,1.0931250000000001,0.907484375,1.3050000000000002,0.39375,0.35,0.4375,1.486875,1.31875,1.669390625
lab5,rule_based,20,1.0,1.0,1.0,0.6875,0.6875,0.6875,1.9375,1.9375,1.9375,17.738750000000003,17.641250000000003,17.838765625,0.6243750000000001,0.615625,0.6337500000000001,0.25,0.25,0.25,0.874375,0.865625,0.88375
