profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4,ql_false,80,0.9375,2.35,4.85,15.4125,2.3,0.5375,2.8375,0,0,0,0,0
lab4,ql_true,80,1.0,0.875,2.8125,13.2375,0.85,0.3125,1.1625,0,0,0,0,0
lab4,rule_based,80,1.0,1.125,2.75,12.5,1.0875,0.5625,1.65,0,0,0,0,0
lab4,training_stereo_false,,,,,,,,,0,0,0,0,0
lab4,training_stereo_true,,,,,,,,,0,0,0,0,0
lab5,ql_false,80,1.0,0.9375,2.5625,22.5625,0.8625,0.5,1.3625,0,0,0,0,0
lab5,ql_true,80,1.0,0.8125,2.6875,19.1625,0.7625,0.375,1.1375,0,0,0,0,0
lab5,rule_based,80,1.0,0.6875,1.9375,17.25,0.65,0.25,0.9,0,0,0,0,0
lab5,training_stereo_false,,,,,,,,,0,0,0,0,0
lab5,training_stereo_true,,,,,,,,,0,0,0,0,0
