profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_wasted,avg_cycling,avg_redundant,avg_policy_energy,avg_legacy_wallclock_energy,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4,ql_false,80,1.0,1.3375,2.425,0.25,1.0875,1.3375,2.025,12.05,0,0,0,0,0
lab4,ql_true,80,1.0,0.875,0.625,0.0,0.875,0.875,2.1875,13.2,0,0,0,0,0
lab4,rule_based,80,1.0,1.125,0.5625,0.0,1.125,1.125,2.0625,12.275,0,0,0,0,0
lab4,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab4chain,ql_false,80,1.0,1.3,1.625,0.1625,1.1375,1.3,2.2,12.6625,0,0,0,0,0
lab4chain,ql_true,80,1.0,0.9375,0.6875,0.0,0.9375,0.9375,2.25,13.225,0,0,0,0,0
lab4chain,rule_based,80,1.0,1.4375,0.875,0.0,1.4375,1.4375,2.6875,13.5875,0,0,0,0,0
lab4chain,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4chain,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab4dual,ql_false,80,1.0,1.0625,1.0,0.0,1.0625,1.0625,2.4375,12.9625,0,0,0,0,0
lab4dual,ql_true,80,1.0,1.125,1.125,0.0,1.125,1.125,2.8125,13.8875,0,0,0,0,0
lab4dual,rule_based,80,1.0,1.5625,2.625,0.0,1.5625,1.5625,2.75,12.1125,0,0,0,0,0
lab4dual,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4dual,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab5,ql_false,80,1.0,0.6875,0.25,0.0,0.6875,0.6875,2.4375,20.775,0,0,0,0,0
lab5,ql_true,80,1.0,0.8125,1.0,0.0,0.8125,0.8125,1.75,18.8375,0,0,0,0,0
lab5,rule_based,80,1.0,0.6875,0.25,0.0,0.6875,0.6875,1.125,17.825,0,0,0,0,0
lab5,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab5,training_stereo_true,,,,,,,,,,0,0,0,0,0
