profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_policy_energy_mean,avg_policy_energy_ci_lo,avg_policy_energy_ci_hi,avg_legacy_wallclock_energy_mean,avg_legacy_wallclock_energy_ci_lo,avg_legacy_wallclock_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4,ql_false,10,0.99875,0.9962500000000001,1.0,1.27875,1.1275,1.44,1.7424999999999997,1.2725000000000002,2.18375,2.11125,1.8962499999999998,2.3175,12.41,11.948718750000001,12.828749999999996,0.23125,0.15000000000000002,0.31875,1.0475,0.9675,1.13,1.27875,1.1275,1.44
lab4,ql_true,10,1.0,1.0,1.0,0.8875,0.875,0.9125,0.65,0.625,0.7,2.1625,2.11875,2.2125,13.209999999999999,13.080000000000002,13.35503125,0.0,0.0,0.0,0.8875,0.875,0.9125,0.8875,0.875,0.9125
lab4,rule_based,10,1.0,1.0,1.0,1.125,1.125,1.125,0.5625,0.5625,0.5625,2.0625,2.0625,2.0625,12.4575,12.339968749999999,12.5625,0.0,0.0,0.0,1.125,1.125,1.125,1.125,1.125,1.125
lab4chain,ql_false,10,0.9899999999999999,0.98375,0.9962500000000001,1.5775000000000001,1.375,1.795,1.9337500000000003,1.60625,2.2775,2.86875,2.51375,3.2674999999999996,13.69375,13.12246875,14.319999999999999,0.43500000000000005,0.29375000000000007,0.5862499999999999,1.1424999999999996,1.03,1.2624999999999997,1.5775000000000001,1.375,1.795
lab4chain,ql_true,10,1.0,1.0,1.0,0.94375,0.9375,0.95625,0.7,0.6875,0.725,2.2125,2.1875,2.2375,13.217500000000001,13.071250000000001,13.383750000000001,0.0,0.0,0.0,0.94375,0.9375,0.95625,0.94375,0.9375,0.95625
lab4chain,rule_based,10,1.0,1.0,1.0,1.4375,1.4375,1.4375,0.875,0.875,0.875,2.6875,2.6875,2.6875,13.176250000000001,13.03125,13.336250000000001,0.0,0.0,0.0,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375
lab4dual,ql_false,10,0.97875,0.9625,0.9925,1.93625,1.6075,2.28,3.27625,2.56871875,3.9987812499999995,3.9224999999999994,3.41,4.47875,14.533750000000001,13.780000000000001,15.357531249999997,0.61625,0.36121875,0.915,1.3199999999999998,1.20625,1.4525,1.93625,1.6075,2.28
lab4dual,ql_true,10,1.0,1.0,1.0,1.125,1.125,1.125,1.125,1.125,1.125,2.8125,2.8125,2.8125,13.882499999999999,13.75375,14.030000000000001,0.0,0.0,0.0,1.125,1.125,1.125,1.125,1.125,1.125
lab4dual,rule_based,10,1.0,1.0,1.0,1.5625,1.5625,1.5625,2.625,2.625,2.625,2.75,2.75,2.75,12.4625,12.325000000000001,12.61125,0.0,0.0,0.0,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
lab5,ql_false,10,0.9925,0.9800000000000001,1.0,0.9525,0.77125,1.19875,0.655,0.41746875,0.9424999999999999,3.02875,2.2612187499999994,4.1825,22.11625,20.33746875,24.781281250000003,0.17875000000000002,0.0075000000000000015,0.42625,0.7737499999999999,0.73,0.825,0.9525,0.77125,1.19875
lab5,ql_true,10,0.975,0.95625,0.99375,1.275,0.95625,1.6,1.35,1.11875,1.59375,2.23125,1.89375,2.5875,20.202499999999997,19.3525,21.095,0.525,0.1625,0.89375,0.75,0.7,0.8,1.275,0.95625,1.6
lab5,rule_based,10,1.0,1.0,1.0,0.6875,0.6875,0.6875,0.25,0.25,0.25,1.125,1.125,1.125,17.611250000000002,17.453750000000003,17.767500000000002,0.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875
