profile,metric,n_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,lower_is_better,p_bootstrap,p_wilcoxon,cliffs_delta,ql_true_better,q_bootstrap_bh,bh_family_m
lab4,goal_rate,10,1.0,0.9637499999999999,0.036250000000000004,0.013750000000000007,0.0625,False,0.0,0.03125,0.6,True,0.0,10
lab4,energy_compliance,10,1.0,0.9637499999999999,0.036250000000000004,0.013750000000000007,0.0625,False,0.0,0.03125,0.6,True,0.0,10
lab4dual,goal_rate,10,1.0,0.9887500000000001,0.011249999999999993,0.0012499999999999955,0.02250000000000001,False,0.0148,0.125,0.4,True,0.021142857142857147,10
lab4dual,energy_compliance,10,1.0,0.9887500000000001,0.011249999999999993,0.0012499999999999955,0.02250000000000001,False,0.0148,0.125,0.4,True,0.021142857142857147,10
lab4chain,goal_rate,10,1.0,0.9799999999999999,0.019999999999999983,0.00874999999999998,0.032499999999999994,False,0.0,0.015625,0.7,True,0.0,10
lab4chain,energy_compliance,10,1.0,0.9799999999999999,0.019999999999999983,0.00874999999999998,0.032499999999999994,False,0.0,0.015625,0.7,True,0.0,10
lab5,goal_rate,10,0.9875,0.9875,0.0,-0.025,0.025,False,1.0,1.0,0.0,False,1.0,10
lab5,energy_compliance,10,0.75625,0.7262500000000001,0.030000000000000006,-0.012499999999999989,0.06999999999999999,False,0.1624,0.28125,0.37,True,0.20299999999999999,10
lab5,mean_steady_power,10,1.16875,1.5125,-0.34375,-0.55,-0.125,True,0.0032,0.01953125,-0.62,True,0.0064,10
lab5,over_budget_rate,10,0.23374999999999999,0.2641666666666667,-0.030416666666666665,-0.07875,0.02041666666666666,True,0.2366,0.28125,-0.4,True,0.2628888888888889,10
