Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,20,80.00,80.00,0,0.300000,1,19
1,20,38.00,-59.00,0,0.299700,13,15
2,18,72.00,28.00,1,0.299400,5,9
3,20,80.00,-65.00,0,0.299101,9,14
4,20,-55.00,80.00,0,0.298802,9,16
5,20,80.00,-62.00,0,0.298503,16,15
6,20,101.00,-23.00,0,0.298204,7,18
7,20,80.00,-70.00,0,0.297906,9,17
8,20,80.00,-65.00,0,0.297608,6,14
9,20,80.00,-16.00,0,0.297311,9,11
10,20,80.00,-40.00,0,0.297013,4,16
11,20,80.00,-75.00,0,0.296716,8,15
12,20,36.00,-30.00,0,0.296420,5,16
13,20,80.00,11.00,1,0.296123,4,18
14,20,80.00,-20.00,0,0.295827,1,20
15,20,80.00,-40.00,0,0.295531,4,15
16,20,80.00,-35.00,0,0.295236,2,20
17,20,72.00,-50.00,0,0.294941,10,14
18,20,31.00,-24.00,0,0.294646,12,12
19,20,-38.00,67.00,0,0.294351,7,16
20,20,61.00,80.00,0,0.294057,4,17
21,20,80.00,-40.00,0,0.293763,6,15
22,20,121.00,-33.00,0,0.293469,7,13
23,20,80.00,-85.00,0,0.293175,10,13
24,20,126.00,67.00,0,0.292882,4,13
25,20,80.00,-50.00,0,0.292589,10,11
26,20,80.00,-60.00,0,0.292297,12,6
27,20,80.00,-65.00,0,0.292004,11,11
28,20,7.00,106.00,0,0.291712,6,15
29,20,80.00,-30.00,0,0.291421,3,16
30,20,118.00,80.00,0,0.291129,1,17
31,20,-9.00,-55.00,0,0.290838,6,16
32,20,80.00,-80.00,0,0.290547,10,15
33,20,70.00,-19.00,0,0.290257,9,13
34,20,80.00,68.00,0,0.289967,3,11
35,20,80.00,-55.00,0,0.289677,6,16
36,20,11.00,-100.00,0,0.289387,14,14
37,20,80.00,-50.00,0,0.289097,4,13
38,20,80.00,32.00,0,0.288808,7,15
39,20,80.00,113.00,0,0.288520,3,15
40,20,80.00,-50.00,0,0.288231,7,11
41,20,72.00,-8.00,0,0.287943,7,15
42,20,80.00,-60.00,0,0.287655,7,16
43,20,-24.00,-23.00,0,0.287367,3,14
44,20,80.00,-30.00,0,0.287080,5,14
45,20,72.00,-39.00,0,0.286793,4,18
46,20,7.00,-4.00,0,0.286506,5,12
47,20,80.00,42.00,0,0.286219,8,16
48,20,26.00,-30.00,0,0.285933,3,15
49,20,57.00,-50.00,0,0.285647,7,14
50,20,-30.00,-20.00,0,0.285362,2,19
51,20,80.00,-35.00,0,0.285076,3,19
52,20,67.00,62.00,0,0.284791,19,1
53,20,80.00,-30.00,0,0.284506,3,7
54,20,17.00,75.00,0,0.284222,12,13
55,20,-110.00,-19.00,0,0.283938,9,17
56,13,52.00,13.00,1,0.283654,3,11
57,20,72.00,-40.00,0,0.283370,6,15
58,20,7.00,-80.00,0,0.283087,9,12
59,20,-60.00,7.00,0,0.282804,2,17
60,20,80.00,-80.00,0,0.282521,8,11
61,14,56.00,17.00,1,0.282238,2,10
62,20,126.00,126.00,0,0.281956,1,19
63,20,0.00,-48.00,0,0.281674,10,14
64,20,-10.00,-75.00,0,0.281392,17,5
65,20,80.00,-50.00,0,0.281111,3,18
66,20,16.00,-45.00,0,0.280830,5,15
67,20,-9.00,80.00,0,0.280549,9,12
68,20,-44.00,-70.00,0,0.280269,9,16
69,20,80.00,80.00,0,0.279988,2,19
70,20,67.00,-75.00,0,0.279708,9,12
71,20,80.00,-3.00,0,0.279429,9,13
72,20,-128.00,27.00,0,0.279149,9,15
73,20,-110.00,80.00,0,0.278870,9,18
74,20,47.00,-24.00,0,0.278591,7,15
75,20,80.00,63.00,0,0.278313,6,13
76,20,80.00,-45.00,0,0.278034,3,20
77,20,121.00,-79.00,0,0.277756,8,16
78,20,80.00,-40.00,0,0.277478,4,16
79,20,126.00,-19.00,0,0.277201,6,12
80,20,67.00,-55.00,0,0.276924,6,14
81,20,80.00,-35.00,0,0.276647,5,17
82,20,106.00,-64.00,0,0.276370,6,17
83,20,80.00,-49.00,0,0.276094,3,17
84,20,73.00,-59.00,0,0.275818,8,12
85,20,80.00,-45.00,0,0.275542,4,18
86,20,80.00,-45.00,0,0.275266,5,17
87,20,5.00,-55.00,0,0.274991,7,16
88,20,80.00,121.00,0,0.274716,2,17
89,20,80.00,53.00,0,0.274441,4,13
90,20,-44.00,-35.00,0,0.274167,9,18
91,20,-50.00,111.00,0,0.273893,7,15
92,20,80.00,-30.00,0,0.273619,0,20
93,20,80.00,91.00,0,0.273345,20,18
94,20,4.00,-80.00,0,0.273072,9,15
95,20,80.00,-60.00,0,0.272799,4,18
96,20,-1.00,-62.00,0,0.272526,9,12
97,20,-50.00,80.00,0,0.272254,10,12
98,20,-39.00,-38.00,0,0.271981,10,14
99,20,-112.00,96.00,0,0.271709,13,10
100,20,80.00,-75.00,0,0.271438,7,17
101,20,81.00,121.00,0,0.271166,6,16
102,20,80.00,-30.00,0,0.270895,4,16
103,20,80.00,-93.00,0,0.270624,16,11
104,20,80.00,-99.00,0,0.270354,7,13
105,20,118.00,-92.00,0,0.270083,5,15
106,1,4.00,4.00,1,0.269813,0,0
107,20,45.00,66.00,0,0.269543,9,8
108,20,-49.00,-30.00,0,0.269274,9,13
109,20,80.00,-40.00,0,0.269004,4,18
