Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,8,178.00,233.00,1,0.300000,4,6
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,2,8.00,194.00,1,0.297308,0,1
4,6,245.00,250.00,1,0.296416,3,3
5,0,0.00,0.00,1,0.295527,0,0
6,1,4.00,200.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,5,201.00,246.00,1,0.292875,3,3
9,0,0.00,0.00,1,0.291997,0,0
10,6,245.00,255.00,1,0.291121,4,2
11,0,0.00,0.00,1,0.290247,0,0
12,1,200.00,4.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,3,278.00,243.00,1,0.287643,0,0
15,0,0.00,0.00,1,0.286780,0,0
16,1,4.00,200.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,3,193.00,278.00,1,0.284207,1,1
19,0,0.00,0.00,1,0.283354,0,0
20,2,204.00,279.00,1,0.282504,0,0
21,0,0.00,0.00,1,0.281656,0,0
22,0,0.00,0.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,5,261.00,236.00,1,0.279129,1,2
25,0,0.00,0.00,1,0.278292,0,0
26,11,44.00,180.00,1,0.277457,1,7
27,0,0.00,0.00,1,0.276624,0,0
28,3,208.00,268.00,1,0.275795,1,1
29,0,0.00,0.00,1,0.274967,0,0
30,4,204.00,277.00,1,0.274142,1,0
31,0,0.00,0.00,1,0.273320,0,0
32,0,0.00,0.00,1,0.272500,0,0
33,0,0.00,0.00,1,0.271682,0,0
34,3,278.00,243.00,1,0.270867,0,0
35,0,0.00,0.00,1,0.270055,0,0
36,1,4.00,200.00,1,0.269245,0,0
37,0,0.00,0.00,1,0.268437,0,0
38,4,204.00,277.00,1,0.267632,1,0
39,0,0.00,0.00,1,0.266829,0,0
40,2,204.00,279.00,1,0.266028,0,0
41,0,0.00,0.00,1,0.265230,0,0
42,0,0.00,0.00,1,0.264434,0,0
43,2,189.00,199.00,1,0.263641,1,0
44,5,276.00,241.00,1,0.262850,1,0
