Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,3,268.00,278.00,1,0.300000,1,0
1,0,0.00,0.00,1,0.299100,0,0
2,4,217.00,237.00,1,0.298203,2,2
3,0,0.00,0.00,1,0.297308,0,0
4,6,255.00,255.00,1,0.296416,4,1
5,0,0.00,0.00,1,0.295527,0,0
6,13,79.00,158.00,1,0.294640,3,3
7,0,0.00,0.00,1,0.293756,0,0
8,2,279.00,279.00,1,0.292875,0,0
9,0,0.00,0.00,1,0.291997,0,0
10,2,279.00,279.00,1,0.291121,0,0
11,0,0.00,0.00,1,0.290247,0,0
12,0,0.00,0.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,2,279.00,279.00,1,0.287643,0,0
15,0,0.00,0.00,1,0.286780,0,0
16,4,78.00,187.00,1,0.285920,2,0
17,0,0.00,0.00,1,0.285062,0,0
18,2,279.00,279.00,1,0.284207,0,0
19,0,0.00,0.00,1,0.283354,0,0
20,2,279.00,279.00,1,0.282504,0,0
21,0,0.00,0.00,1,0.281656,0,0
22,0,0.00,0.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,2,279.00,279.00,1,0.279129,0,0
25,0,0.00,0.00,1,0.278292,0,0
26,19,143.00,157.00,1,0.277457,3,4
27,1,200.00,4.00,1,0.276624,0,0
28,2,279.00,279.00,1,0.275795,0,0
29,0,0.00,0.00,1,0.274967,0,0
30,3,268.00,278.00,1,0.274142,1,0
31,0,0.00,0.00,1,0.273320,0,0
32,1,200.00,200.00,1,0.272500,0,0
33,1,4.00,200.00,1,0.271682,0,0
34,3,278.00,268.00,1,0.270867,1,1
35,0,0.00,0.00,1,0.270055,0,0
36,2,8.00,194.00,1,0.269245,0,1
37,0,0.00,0.00,1,0.268437,0,0
38,2,279.00,279.00,1,0.267632,0,0
39,0,0.00,0.00,1,0.266829,0,0
40,2,279.00,279.00,1,0.266028,0,0
41,0,0.00,0.00,1,0.265230,0,0
42,11,71.00,150.00,1,0.264434,2,6
43,0,0.00,0.00,1,0.263641,0,0
44,8,223.00,233.00,1,0.262850,6,3
45,0,0.00,0.00,1,0.262062,0,0
46,3,12.00,183.00,1,0.261275,1,2
47,2,279.00,279.00,1,0.260492,0,0
48,2,279.00,279.00,1,0.259710,0,0
49,0,0.00,0.00,1,0.258931,0,0
50,6,250.00,260.00,1,0.258154,3,2
51,0,0.00,0.00,1,0.257380,0,0
52,5,196.00,47.00,1,0.256608,1,1
53,2,189.00,8.00,1,0.255838,1,0
54,3,268.00,208.00,1,0.255070,1,0
55,0,0.00,0.00,1,0.254305,0,0
56,8,99.00,173.00,1,0.253542,1,5
57,0,0.00,0.00,1,0.252781,0,0
58,4,267.00,267.00,1,0.252023,2,2
59,0,0.00,0.00,1,0.251267,0,0
60,2,279.00,279.00,1,0.250513,0,0
61,0,0.00,0.00,1,0.249762,0,0
62,1,200.00,4.00,1,0.249012,0,0
63,0,0.00,0.00,1,0.248265,0,0
64,2,279.00,279.00,1,0.247521,0,0
65,0,0.00,0.00,1,0.246778,0,0
66,20,80.00,-120.00,0,0.246038,3,18
