StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-0.57,-1.08,18.03,9.92,35.59,-0.57,0.00,-0.57,-0.57,-0.57,-1.08,234.30,19.54
1,19.48,12.19,22.73,262.00,0.00,15.37,0.00,2.80,29.66,6.59,0.00,14.21,3.27
2,0.00,0.00,0.00,0.00,-0.57,17.22,11.48,0.75,0.00,262.00,0.00,0.00,54.38
3,0.00,0.00,-1.07,0.00,0.00,83.13,-0.57,0.00,0.00,0.00,-0.57,0.00,-0.57
4,-0.57,-0.57,0.00,60.70,0.00,-0.57,0.00,0.00,0.00,-0.57,-0.57,0.00,-0.57
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.49,0.00,0.00,-0.57,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.85,0.00,0.00,0.00
7,0.00,0.00,0.00,41.31,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.70,0.00
20,0.00,0.00,-1.07,0.00,0.00,-0.57,0.00,0.00,0.00,-0.57,0.00,97.08,0.00
32,-0.57,0.00,-1.07,0.00,0.00,-0.57,0.00,0.00,-0.57,30.51,-0.57,0.00,0.00
36,-0.51,-0.57,0.00,64.97,-0.57,-0.57,0.00,0.00,0.00,0.00,-0.57,0.00,-0.57
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.38,0.00
52,-0.57,-0.57,-1.07,0.00,0.00,-0.57,-0.57,0.00,0.00,0.00,0.00,86.62,-0.57
128,0.00,0.00,0.00,0.00,0.00,4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,0.00,0.00,0.00,0.00,0.00,72.79,0.00,0.00,0.00,4.02,0.00,0.00,0.00
130,0.00,0.00,0.00,72.81,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00
131,0.00,0.00,0.00,95.08,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00
144,0.00,0.00,-1.07,0.00,-0.57,0.00,0.00,0.00,0.00,-0.57,0.00,70.57,0.00
160,0.00,0.00,0.00,152.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.69,0.00,0.00,0.00,0.00
1297,-0.58,0.00,-1.08,48.65,0.00,0.00,0.00,0.00,0.00,-0.58,-0.58,0.00,-0.58
1301,-0.22,-0.58,-1.08,0.00,-0.58,0.00,-1.10,58.33,0.00,0.00,-0.58,0.00,-0.58
1313,0.00,0.00,0.00,117.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.58
1317,9.94,-0.58,-1.08,0.00,-4.17,-0.58,-0.58,0.00,0.00,0.00,-0.58,0.00,-0.58
1425,0.00,0.00,0.00,36.97,0.11,4.01,0.00,0.00,0.00,0.11,0.00,0.00,0.00
1441,0.00,155.14,-1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2568,1.22,-0.59,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.18,-0.59
2569,15.52,-0.59,-3.52,13.65,0.00,5.10,0.00,-0.59,37.77,-0.59,17.48,201.00,17.34
2570,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.25,0.00,0.00,0.00,0.00,0.00
2571,0.00,0.00,-8.27,0.00,0.00,0.00,-0.59,0.00,-0.59,20.10,0.00,0.00,-0.59
2572,-0.59,0.00,0.00,0.00,-0.59,0.00,-0.59,114.48,0.00,0.00,-0.59,0.00,0.00
2573,0.00,0.00,-4.72,-1.09,0.00,0.00,0.00,0.00,0.00,16.27,0.00,0.00,0.00
2574,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.31,0.00
2575,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.31,0.00
2578,17.32,-0.59,16.93,38.19,-0.59,0.00,0.00,0.00,0.00,0.00,-0.59,201.00,28.97
2582,0.00,0.00,0.00,155.02,0.00,0.00,-0.59,0.00,-7.10,0.00,0.00,0.00,0.00
2584,-0.59,-1.12,0.00,0.00,-0.59,0.00,-0.59,-0.59,-0.59,0.00,-0.59,38.19,-0.59
2585,-0.59,0.00,-2.75,0.00,-0.59,0.00,-0.59,0.00,0.00,0.00,-0.59,123.13,-0.59
2588,-0.59,0.00,-5.83,-1.09,-0.59,0.00,-0.59,0.00,0.00,0.00,-0.59,0.00,-0.59
2589,0.00,-0.59,0.00,-1.09,-0.59,0.00,0.00,0.00,0.00,-0.59,-0.59,94.18,0.00
2594,0.00,0.00,0.00,82.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22
2598,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.86,-0.59,0.00,0.00
2600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00,0.00
2601,0.00,0.00,-3.82,0.00,-0.59,0.00,0.00,0.00,-0.59,-0.59,0.00,176.56,0.00
2604,0.00,0.00,-8.27,-2.07,0.00,0.00,-0.59,114.48,-0.59,0.00,0.00,0.00,0.00
2605,0.00,0.00,-4.02,-1.09,-0.10,-0.59,0.00,20.10,0.00,0.00,-0.59,0.00,0.00
