StateIndex,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
0,1,2,2,1,3,1,0,1,1,1,2,299,3
1,3,2,2,298,0,2,0,2,2,1,0,1,1
2,0,0,0,0,1,2,3,2,0,302,0,0,3
3,0,0,1,0,0,5,1,0,0,0,1,0,1
4,1,1,0,6,0,1,0,0,0,1,1,0,1
5,0,0,0,0,0,0,0,12,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,7,0,0,0
7,0,0,0,4,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,3,0
20,0,0,1,0,0,1,0,0,0,1,0,10,0
32,1,0,1,0,0,1,0,0,1,7,1,0,0
36,1,1,0,6,1,1,0,0,0,0,1,0,1
48,0,0,0,0,0,0,0,0,0,0,0,12,0
52,1,1,1,0,0,1,1,0,0,0,0,8,1
128,0,0,0,0,0,2,0,0,0,0,0,0,0
129,0,0,0,0,0,10,0,0,0,1,0,0,0
130,0,0,0,6,0,0,1,0,0,0,0,0,0
131,0,0,0,9,0,0,0,1,0,0,0,0,0
144,0,0,1,0,1,0,0,0,0,1,0,6,0
160,0,0,0,15,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,6,0,0,0,0
1297,1,0,1,7,0,0,0,0,0,1,1,0,1
1301,1,1,1,0,1,0,2,4,0,0,1,0,1
1313,0,0,0,14,0,0,0,0,0,0,0,0,1
1317,2,1,1,0,1,1,1,0,0,0,1,0,1
1425,0,0,0,6,1,1,0,0,0,1,0,0,0
1441,0,18,1,0,0,0,0,0,0,0,0,0,0
2568,1,1,0,1,0,0,0,0,0,0,0,6,1
2569,1,1,1,1,0,2,0,1,3,1,1,296,1
2570,0,0,0,0,0,0,0,3,0,0,0,0,0
2571,0,0,1,0,0,0,1,0,1,1,0,0,1
2572,1,0,0,0,1,0,1,8,0,0,1,0,0
2573,0,0,1,1,0,0,0,0,0,4,0,0,0
2574,0,0,0,0,0,0,0,0,0,0,0,5,0
2575,0,0,0,0,0,0,0,0,0,0,0,5,0
2578,1,1,1,2,1,0,0,0,0,0,1,306,3
2582,0,0,0,14,0,0,1,0,1,0,0,0,0
2584,1,2,0,0,1,0,1,1,1,0,1,2,1
2585,1,0,1,0,1,0,1,0,0,0,1,9,1
2588,1,0,1,1,1,0,1,0,0,0,1,0,1
2589,0,1,0,1,1,0,0,0,0,1,1,6,0
2594,0,0,0,5,0,0,0,0,0,0,0,0,1
2598,0,0,0,0,0,0,0,0,0,7,1,0,0
2600,0,0,0,0,0,0,0,0,0,1,0,0,0
2601,0,0,1,0,1,0,0,0,1,1,0,20,0
2604,0,0,1,2,0,0,1,8,1,0,0,0,0
2605,0,0,1,1,1,1,0,1,0,0,1,0,0
2609,0,0,0,0,1,0,0,0,1,0,0,8,0
2613,4,1,1,1,1,0,1,0,1,1,0,0,1
2616,0,0,0,0,0,0,0,0,0,1,1,3,0
2617,0,0,0,0,0,0,0,0,2,0,0,0,0
2621,0,1,1,0,0,1,0,4,0,0,0,0,1
2696,0,0,0,0,0,0,0,0,0,0,0,2,0
2697,0,0,0,0,0,0,1,0,0,0,0,0,0
2698,1,0,0,0,0,0,0,0,0,14,1,0,0
2699,0,0,0,0,0,10,0,0,1,0,0,0,0
2706,1,0,1,0,0,0,0,0,1,1,0,5,0
2712,0,3,0,0,0,0,1,0,0,0,0,0,0
2713,0,0,1,0,1,0,0,1,0,0,0,8,0
2728,1,19,1,1,0,0,0,0,0,0,1,0,1
2729,0,0,2,0,0,0,0,0,0,0,0,0,0
2737,0,6,0,1,0,1,1,0,0,1,1,0,1
2744,0,0,0,0,0,0,0,0,1,0,0,0,0
2745,0,0,0,1,0,0,0,0,0,0,0,2,0
2880,1,1,1,305,0,1,1,1,0,0,1,0,1
2881,0,1,0,0,0,1,0,0,0,0,0,125,1
2882,0,0,0,0,0,1,1,0,0,0,0,0,0
2883,1,0,0,14,0,0,0,0,16,0,0,0,0
2884,1,0,1,0,0,0,1,0,42,0,1,0,1
2885,1,0,0,4,0,0,0,0,0,0,1,0,0
2886,0,0,0,0,0,0,0,1,0,4,0,0,0
2887,1,0,0,0,0,0,0,0,0,0,0,0,0
2896,0,1,0,0,0,0,0,0,6,0,0,0,0
2897,0,5,0,0,0,0,0,1,0,0,0,0,0
2900,1,2,0,0,1,3,2,0,0,197,2,0,0
2901,0,1,0,0,0,0,0,9,0,0,0,0,1
