StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-0.04,-0.07,8.08,4.96,16.87,-0.04,0.00,-0.04,-0.54,-0.54,-1.02,103.30,8.52
1,10.42,5.35,11.37,131.00,0.00,7.69,0.00,1.39,14.35,3.29,0.00,10.15,1.64
2,0.00,0.00,0.00,0.00,-0.04,8.61,6.42,0.85,0.00,131.00,0.00,0.00,27.19
3,0.00,0.00,-0.54,0.00,0.00,41.57,-0.04,0.00,0.00,0.00,-0.54,0.00,-0.29
4,-0.04,-0.04,0.00,30.35,0.00,-0.04,0.00,0.00,0.00,-0.54,-0.54,0.00,-0.29
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.14,0.00,0.00,-0.54,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.42,0.00,0.00,0.00
7,0.00,0.00,0.00,20.65,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.66,0.00
20,0.00,0.00,-0.54,0.00,0.00,-0.04,0.00,0.00,0.00,-0.54,0.00,71.99,0.00
32,-0.04,0.00,-0.54,0.00,0.00,-0.04,0.00,0.00,-0.54,20.00,-0.54,0.00,0.00
36,0.00,-0.04,0.00,32.49,-0.04,-0.04,0.00,0.00,0.00,0.00,-0.54,0.00,-0.29
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.79,0.00
52,-0.04,-0.04,-0.54,0.00,0.00,-0.04,-0.04,0.00,0.00,0.00,0.00,65.18,-0.29
128,0.00,0.00,0.00,0.00,0.00,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,0.00,0.00,0.00,0.00,0.00,29.37,0.00,0.00,0.00,2.01,0.00,0.00,0.00
130,0.00,0.00,0.00,36.40,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
131,0.00,0.00,0.00,47.54,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00
144,0.00,0.00,-0.54,0.00,-0.04,0.00,0.00,0.00,0.00,-0.54,0.00,52.73,0.00
160,0.00,0.00,0.00,76.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.17,0.00,0.00,0.00,0.00
1297,-0.04,0.00,-0.54,24.33,0.00,0.00,0.00,0.00,0.00,-0.54,-0.54,0.00,-0.29
1301,0.14,-0.04,-0.54,0.00,-0.04,0.00,-0.08,23.27,0.00,0.00,-0.54,0.00,-0.29
1313,0.00,0.00,0.00,58.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
1317,5.44,-0.04,-0.54,0.00,-2.09,-0.04,-0.04,0.00,0.00,0.00,-0.54,0.00,-0.29
1425,0.00,0.00,0.00,18.48,0.30,2.01,0.00,0.00,0.00,-0.20,0.00,0.00,0.00
1441,0.00,68.28,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2568,0.86,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,-0.30
2569,8.01,-0.05,-1.76,6.82,0.00,3.03,0.00,-0.05,18.21,-0.55,8.49,100.50,8.67
2570,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,0.00,0.00,0.00,0.00,0.00
2571,0.00,0.00,-4.14,0.00,0.00,0.00,-0.05,0.00,-0.55,10.05,0.00,0.00,-0.30
2572,-0.05,0.00,0.00,0.00,-0.05,0.00,-0.05,57.24,0.00,0.00,-0.55,0.00,0.00
2573,0.00,0.00,-3.17,-0.55,0.00,0.00,0.00,0.00,0.00,7.27,0.00,0.00,0.00
2574,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00
2575,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00
