StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,5.42,16.12,-0.57,-0.57,0.00,234.30,43.16,0.00,11.60,0.00,20.78,28.74,20.52,27.91,-0.57
1,0.00,0.00,27.94,8.73,-0.57,0.00,20.33,0.00,0.00,232.17,0.00,0.00,30.60,29.49,0.00
2,0.00,0.00,6.87,11.55,0.71,0.00,0.00,234.30,6.36,0.00,-0.57,0.00,19.96,14.21,19.55
3,0.00,0.00,-0.57,38.57,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,50.96,-0.57,0.00,0.00,0.00,-0.57,0.00,0.00,-0.57,0.00,0.00,-0.57,0.00,-0.57
16,0.00,17.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00
24,0.00,41.31,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2569,0.00,0.00,13.75,10.06,0.00,0.00,0.00,0.00,-2.39,32.09,18.58,213.30,0.00,0.00,7.84
2577,0.00,0.00,0.00,0.00,-0.58,0.00,0.00,0.00,0.00,0.00,0.00,60.24,0.00,0.00,-0.58
5124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.15,0.00,0.00,0.00,0.00,0.00
5125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.12,0.00,0.00,0.00
5126,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,20.10,0.00,0.00,0.00
5130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00,0.00,0.00
5132,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,130.92,-0.59,0.00,-0.59
5133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00
5138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.12,0.00
5140,0.00,0.00,0.00,0.00,-0.59,54.47,0.00,0.00,0.00,0.00,-0.59,0.00,-0.59,0.00,0.00
5141,-1.00,-1.09,4.31,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,-0.59,0.00,0.00
5145,0.00,0.00,0.00,0.00,0.00,58.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5148,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.18,0.00,0.00,0.00
5149,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,20.10,-0.59
5664,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.97,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
5665,0.00,0.00,0.00,0.00,0.00,53.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00
5666,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,-0.10
5667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,2.17,0.00,0.00,0.00,0.00
5672,0.00,0.00,0.00,0.00,0.00,41.97,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.00,0.00
5673,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,0.00
5680,-0.35,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5681,0.00,0.00,0.58,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5688,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,5.93,0.00,1.08,0.00,0.00,-0.10
5689,0.00,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,-9.19,0.00,0.00
5696,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00
5698,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5699,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,1.05,0.00,0.00,0.00
5704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.27,0.00,0.00,9.86,0.00
5705,-0.35,19.47,13.93,0.00,16.87,0.00,8.57,102.50,0.00,15.71,-6.13,9.29,6.77,0.16,20.62
5712,0.00,0.00,0.00,0.00,0.00,53.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5713,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5720,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.19,0.00,0.00,0.00,0.00,0.00,0.00
5721,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00
5728,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5729,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00
5730,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.47,0.00,0.00,0.00,0.00,0.00,-0.10
5731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5736,-0.56,0.00,-0.35,0.00,-0.59,48.03,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00
5737,0.00,0.00,0.00,0.00,-0.30,0.00,0.00,0.00,0.16,4.38,0.00,0.00,0.00,0.00,0.00
5744,0.00,0.00,0.00,0.00,0.00,10.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5745,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00
5752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.61,0.00,0.21,0.16,0.00,0.00
5753,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00
7296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,10.25,0.00
7297,0.00,0.00,0.00,0.00,8.84,0.00,0.00,0.94,-0.35,-0.35,0.00,0.00,0.00,0.00,0.00
7298,8.88,10.25,9.38,102.50,0.00,0.16,-7.84,0.00,11.34,19.47,7.76,0.00,0.58,0.00,0.00
7299,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7304,0.00,0.00,9.16,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.03,0.00
