StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,1.65,8.00,-0.04,-0.04,0.00,131.00,23.28,0.00,4.57,0.00,8.10,19.32,11.25,19.30,-0.29
1,0.00,0.00,14.93,4.73,-0.04,0.00,10.10,0.00,0.00,112.62,0.00,0.00,15.76,19.33,0.00
2,0.00,0.00,2.63,5.77,0.33,0.00,0.00,131.00,1.65,0.00,-0.54,0.00,10.73,10.15,10.66
3,0.00,0.00,-0.04,19.29,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,25.48,-0.04,0.00,0.00,0.00,-0.04,0.00,0.00,-0.54,0.00,0.00,-0.54,0.00,-0.29
16,0.00,8.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00
24,0.00,20.65,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2569,0.00,0.00,9.58,3.80,0.00,0.00,0.00,0.00,-1.03,15.85,8.71,102.80,0.00,0.00,5.31
2577,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,41.57,0.00,0.00,-0.29
5124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.55,0.00,0.00,0.00,0.00,0.00
5125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00,0.00,0.00
5126,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00
