StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-67.89,24.27,-100.00,262.00,-100.00,-74.00,-67.89,-58.84,-79.01,-74.00,-84.75,34.53,45.32
1,-100.00,22.50,-71.74,262.00,-67.01,22.50,-100.00,-100.00,-100.00,22.50,-100.00,46.40,16.71
2,-100.00,29.62,-67.49,262.00,-84.37,22.50,-100.00,-100.00,-27.25,46.73,-68.64,22.50,17.98
3,-100.00,22.50,-100.00,76.73,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
4,0.00,-100.00,-100.00,146.61,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00
5,0.00,-100.00,-100.00,104.45,-100.00,27.12,-100.00,22.50,-100.00,22.50,-100.00,22.50,4.37
6,0.00,-100.00,-100.00,118.87,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
7,0.00,-100.00,-100.00,49.29,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
8,-100.00,22.50,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00
9,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
10,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
11,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
12,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00
13,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
14,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
15,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
16,-100.00,22.50,-100.00,109.87,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,-86.52,22.50,0.00
17,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
18,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
19,-100.00,22.50,-100.00,45.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
20,0.00,-100.00,-100.00,106.87,-100.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
21,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
22,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
23,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
24,-100.00,22.50,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
25,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
26,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
27,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00,-100.00,-100.00,22.50,0.00
28,0.00,-100.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
29,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
30,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
31,0.00,-100.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,0.00
32,-100.00,24.12,-100.00,93.63,0.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00
33,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
34,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
35,-100.00,22.50,-100.00,45.00,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
36,0.00,-100.00,-100.00,85.01,0.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00
37,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
38,0.00,-100.00,-100.00,45.00,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
