StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,-27.22,262.00,-83.02,-71.53,-100.00,45.35,-73.75,35.10,-54.06,-85.35,-80.93,22.50,-100.00,45.21,0.00
1,-100.00,217.54,-70.99,32.50,-100.00,41.88,-100.00,35.18,-82.70,28.15,-100.00,22.50,-69.63,38.00,27.66
2,-100.00,262.00,-75.92,22.50,-75.92,22.50,-100.00,22.50,-100.00,22.50,-100.00,34.46,-100.00,22.50,0.00
3,-100.00,84.98,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
4,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
5,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
6,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
7,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
8,-100.00,91.15,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-86.52,22.50,-100.00,22.50,0.00
9,-100.00,45.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
10,-100.00,45.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
11,-100.00,45.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
12,0.00,-100.00,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
13,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
14,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
15,0.00,-100.00,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
