Action,SunBucket,Sum,N
0,0,1.0,4
0,1,2.0,5
0,2,2.0,2
1,0,342.0,342
1,1,338.0,345
1,2,318.5,319
1,3,6.0,6
2,0,0.0,19
2,1,1.0,175
2,2,0.0,2
3,0,0.0,3
3,1,2.0,477
3,2,0.0,3
3,3,0.0,7
4,0,13.0,22
4,1,8.0,18
4,2,4.0,7
4,3,1.0,1
5,0,330.0,330
5,1,5.0,11
5,2,1.0,1
6,0,19.0,21
6,1,2.0,16
6,3,1.0,1
7,0,2.0,2
7,1,4.0,6
7,2,306.0,306
8,0,0.0,21
8,1,0.0,145
8,2,0.0,1
9,0,0.0,2
9,1,1.0,427
9,2,2.0,8
9,3,6.0,12
10,0,2.0,12
10,1,4.0,13
10,2,1.0,4
10,3,1.0,1
11,0,14.0,14
11,1,647.0,647
11,2,1.0,1
12,0,4.0,9
12,1,16.0,32
12,3,0.0,3
13,0,3.0,3
13,1,6.0,6
13,2,1.0,1
