StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,9.30,-0.57,10.03,262.00,17.82,-1.02,-0.57,-0.47,56.67,2.38,0.00,0.00,13.01
1,0.00,0.00,21.88,262.00,11.44,4.02,0.00,0.00,37.64,5.33,0.00,39.00,41.54
2,5.10,1.58,0.00,8.11,0.00,0.00,0.00,3.94,0.00,0.00,38.23,234.30,24.17
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.02,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,-1.08,-0.57,1.86,111.61,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.05,0.00,0.00,-0.57,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.04,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.75,0.00,0.00,0.00,0.00,0.00
16,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,105.04,0.00
20,0.00,0.00,0.00,66.08,0.00,0.00,0.00,0.00,0.20,0.00,-0.57,0.00,0.00
32,0.00,30.03,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.87,0.00
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,100.13,0.00
52,-0.57,-0.57,-1.07,0.00,-0.57,-0.57,-0.57,0.00,29.29,-0.57,0.00,0.00,-0.57
128,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,23.00,-0.57,0.00,0.00
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.07,0.00
130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,84.08,-0.57,0.00,0.00
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.56,0.00,0.00,0.00
144,-0.57,0.00,-1.07,124.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,0.00,0.00,0.00,61.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.60,0.00
1297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.44,0.00,0.00,0.00,0.00
1301,0.00,0.00,0.00,33.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1313,0.00,-0.22,0.00,0.00,78.42,0.00,0.00,0.51,0.00,0.00,-0.58,0.00,0.00
