StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,1,3,303,3,2,1,1,4,2,0,0,1
1,0,0,1,317,2,1,0,0,3,1,0,3,2
2,1,2,0,1,0,0,0,1,0,0,2,305,2
3,0,0,0,0,0,0,0,5,0,0,0,0,0
4,0,0,0,0,0,1,0,0,2,1,1,9,0
5,0,0,0,0,0,0,0,16,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,0,8,0
7,0,0,0,0,0,0,0,6,0,0,0,0,0
16,1,0,0,0,0,0,0,0,1,0,0,9,0
20,0,0,0,7,0,0,0,0,2,0,1,0,0
32,0,5,0,0,0,0,0,0,1,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,15,0
48,0,0,0,0,0,0,0,0,0,0,1,10,0
52,1,1,1,0,1,1,1,0,3,1,0,0,1
128,0,0,0,0,1,0,0,0,0,7,1,0,0
129,0,0,0,0,0,0,0,0,0,0,0,11,0
130,0,0,0,0,0,0,0,0,1,9,1,0,0
131,0,0,0,0,0,0,0,0,0,14,0,0,0
144,1,0,1,12,0,0,0,0,0,0,0,0,0
160,0,0,0,6,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,6,0
1297,0,0,0,0,0,0,0,0,7,0,0,0,0
1301,0,0,0,4,0,0,0,0,0,0,0,0,0
1313,0,1,0,0,5,0,0,1,0,0,1,0,0
1317,0,1,0,5,1,1,0,0,0,0,1,0,0
1425,1,4,0,0,0,1,0,0,0,0,0,0,0
1441,0,2,0,0,0,0,0,0,0,0,0,0,0
2568,1,2,1,1,1,2,1,1,2,1,0,298,1
2569,2,2,1,0,2,2,2,2,0,1,2,317,0
2570,0,0,0,1,0,4,0,1,1,0,0,0,1
2571,0,0,0,0,0,0,0,0,0,1,0,0,0
2572,0,0,0,0,0,0,0,3,0,0,0,0,0
2573,0,0,7,1,0,0,0,0,0,0,0,0,0
2575,0,0,1,0,0,5,0,0,0,0,0,0,0
2578,1,1,0,5,0,0,0,0,0,0,0,0,1
2582,0,0,0,0,1,5,0,0,0,0,0,0,0
2584,0,4,1,0,0,0,1,0,0,0,0,0,0
2585,1,0,1,1,1,1,0,1,3,0,0,0,1
2588,0,0,1,0,1,2,0,0,0,1,0,9,1
2589,0,0,0,0,0,1,0,7,0,0,0,0,0
2594,0,0,0,0,0,0,0,0,0,0,0,4,1
2598,0,0,0,0,0,0,0,0,1,0,0,3,0
2600,0,1,0,1,0,0,0,0,1,1,0,2,1
2601,1,3,1,1,0,1,1,0,0,1,1,0,1
2604,0,1,0,0,0,0,0,3,0,0,0,0,1
2605,1,1,0,1,0,1,1,10,1,1,1,0,0
2609,0,0,0,6,0,0,0,0,0,0,0,0,0
2613,0,0,0,4,0,0,0,0,1,0,0,0,1
2616,0,0,1,0,1,1,1,1,0,1,1,0,1
2617,1,1,0,0,1,1,0,0,0,1,1,9,0
2620,1,1,0,1,0,0,1,0,1,0,1,0,0
2621,1,0,0,0,1,1,0,0,1,1,0,7,0
2696,0,2,0,0,1,0,0,0,1,1,0,0,0
2697,1,0,0,0,0,1,0,0,0,1,0,0,0
2698,0,0,1,1,1,0,0,0,0,2,1,0,1
2706,1,11,0,0,1,0,1,1,1,1,0,0,1
2712,0,0,0,0,0,0,1,1,1,1,0,13,0
2713,1,0,1,0,0,0,1,0,0,1,0,1,0
2722,0,0,0,0,0,0,0,0,0,4,0,0,0
2728,0,8,0,0,0,0,0,0,0,0,0,0,0
2729,0,3,0,0,0,1,0,0,0,0,0,0,0
2737,0,5,0,1,1,0,0,0,1,0,1,0,0
2744,0,0,0,1,0,0,0,0,2,0,0,0,0
2745,0,0,0,0,0,0,0,0,0,0,0,2,0
2880,0,9,0,0,0,0,0,0,0,0,0,5,0
2881,0,1,1,0,0,0,1,0,126,0,0,1,1
2882,1,2,1,309,1,0,0,0,1,0,0,4,1
2883,0,0,0,0,1,0,0,0,0,2,0,0,0
2884,1,0,2,23,1,0,1,0,53,0,2,1,0
2885,0,0,0,0,1,0,0,3,0,0,1,0,0
2886,1,0,0,0,0,0,0,0,0,13,0,0,0
2887,0,0,0,0,0,0,0,0,0,0,0,60,0
2896,0,2,0,9,0,0,0,0,0,4,0,0,1
2897,0,0,0,5,0,0,1,0,0,0,0,0,0
2900,1,0,0,2,0,1,0,0,0,1,0,73,0
2901,0,1,0,0,1,0,1,3,0,0,0,0,0
2912,0,21,0,0,0,0,1,0,0,0,0,0,0
2913,0,2,1,0,0,0,0,0,0,0,1,0,1
2916,1,0,0,0,0,0,0,43,0,0,0,0,0
2917,0,0,0,0,0,0,0,6,0,0,0,0,0
2928,0,0,1,0,0,1,1,1,16,0,0,0,0
2929,1,0,1,0,1,0,0,0,0,0,0,40,0
2932,0,0,1,0,0,1,1,0,3,12,1,0,0
2933,0,0,1,0,1,0,0,0,0,0,1,0,0
3008,0,9,0,0,0,0,0,0,0,0,0,0,1
3009,0,0,0,19,0,0,0,0,0,0,1,0,0
3010,0,0,0,8,0,0,0,0,0,0,1,0,0
3011,1,0,0,0,1,6,0,0,0,0,0,1,1
3024,0,0,0,0,0,0,0,0,7,0,0,0,0
3025,0,0,0,0,1,0,0,0,5,0,0,0,0
3040,0,0,1,0,0,1,0,0,1,0,0,137,0
3041,0,0,0,0,0,1,0,0,0,0,0,78,1
3056,1,0,5,0,0,2,1,3,0,2,1,240,1
3057,0,0,0,9,0,0,0,0,0,0,0,0,0
