StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,4.40,-0.54,5.01,131.00,8.23,-1.03,-0.54,-0.44,29.19,0.92,0.00,0.00,6.50
1,0.00,0.00,10.94,131.00,5.24,2.01,0.00,0.00,19.50,2.66,0.00,10.84,20.77
2,1.39,-0.10,0.00,4.06,0.00,0.00,0.00,1.72,0.00,0.00,21.70,131.00,12.58
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.49,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,-0.07,-0.04,0.66,48.92,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.06,0.00,0.00,-0.04,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.80,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.84,0.00,0.00,0.00,0.00,0.00
16,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,42.51,0.00
20,0.00,0.00,0.00,33.04,0.00,0.00,0.00,0.00,0.30,0.00,-0.04,0.00,0.00
32,0.00,13.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.11,0.00
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,33.05,0.00
52,-0.54,-0.54,-0.54,0.00,-0.54,-0.54,-0.54,0.00,15.37,-0.04,0.00,0.00,-0.29
128,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,12.80,-0.04,0.00,0.00
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.61,0.00
130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,42.04,-0.04,0.00,0.00
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.28,0.00,0.00,0.00
144,-0.54,0.00,-0.54,62.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,0.00,0.00,0.00,30.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.83,0.00
1297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.72,0.00,0.00,0.00,0.00
1301,0.00,0.00,0.00,16.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1313,0.00,-0.36,0.00,0.00,39.21,0.00,0.00,0.37,0.00,0.00,-0.04,0.00,0.00
1317,0.00,-0.54,0.00,20.85,-2.09,-0.54,0.00,0.00,0.00,0.00,-0.04,0.00,0.00
1425,0.37,35.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1441,0.00,19.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2568,1.91,-0.13,7.19,4.17,7.61,-1.04,-0.55,-0.55,8.43,-0.05,0.00,100.50,2.16
2569,9.67,-0.86,-3.77,0.00,8.01,-0.75,11.34,-1.04,0.00,-0.05,15.59,100.50,0.00
2570,0.00,0.00,0.00,-0.55,0.00,34.56,0.00,-0.55,-0.05,0.00,0.00,0.00,-0.30
2571,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00
2572,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,0.00,0.00,0.00,0.00,0.00
2573,0.00,0.00,9.68,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2575,0.00,0.00,-3.22,0.00,0.00,41.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2578,-0.55,-0.55,0.00,41.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
2582,0.00,0.00,0.00,0.00,-0.55,41.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
