StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,3.76,18.85,-0.57,-0.57,0.71,234.30,5.22,0.00,19.63,0.16,9.39,14.21,0.00,28.74,17.96
1,0.00,8.11,0.00,4.02,-0.57,234.30,0.00,0.00,20.52,8.73,3.61,0.00,20.51,14.21,13.15
2,0.00,17.22,5.34,15.41,20.52,41.83,0.00,234.30,4.83,38.67,13.20,0.00,17.95,14.21,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.57,0.00
8,0.00,17.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,27.31,0.00
24,0.00,17.22,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.96,0.00,0.00,0.00
2577,0.00,4.01,0.00,-0.58,-0.58,0.00,0.00,0.00,0.00,0.00,-0.58,0.00,0.00,0.00,0.00
5124,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,-0.59,0.00,0.00,0.00,54.47,0.00
5125,0.00,0.00,0.00,-0.59,-0.59,69.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,54.47,0.00
5127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,0.00
5130,0.00,82.31,0.00,0.00,0.00,0.00,-0.59,0.00,-6.99,0.00,0.00,0.00,0.00,0.00,-0.59
5132,0.00,0.00,-1.12,0.00,0.00,38.19,0.00,0.00,-0.59,-1.12,-0.59,0.00,-0.59,0.00,0.00
5133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5138,0.00,0.00,-1.33,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,-0.59
5140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00,0.00,0.00
5141,0.00,-1.09,-0.59,0.00,0.00,0.00,0.00,20.10,-0.59,-0.59,0.00,0.00,0.00,0.00,0.00
5145,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.74,-0.59,0.00,0.00
5148,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00,0.00,0.00
5149,0.00,0.00,0.00,0.00,0.00,38.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5664,0.00,27.78,-0.35,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
5665,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5666,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.03,0.00,0.00,0.00,0.00,0.00
5672,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,-14.27,0.00,0.00
5673,0.00,0.00,0.00,0.00,0.00,41.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5680,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.16,6.85,0.00,0.00,0.00,0.00
5681,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00
