StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,2,2,1,1,1,294,1,0,2,1,3,1,0,2,3
1,0,1,0,1,1,297,0,0,1,2,1,0,1,1,1
2,0,2,1,2,1,3,0,295,2,4,2,0,2,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
24,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2569,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2577,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
5124,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0
5125,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0
5126,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
5127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5130,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1
5132,0,0,2,0,0,2,0,0,1,2,1,0,1,0,0
5133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5138,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
5140,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5141,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
5145,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0
5148,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
5149,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5664,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1
5665,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5666,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5667,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
5672,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
5673,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5680,0,0,0,0,0,0,0,0,1,1,58,0,0,0,0
5681,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5688,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
5689,0,0,0,0,1,0,1,0,0,0,115,0,1,1,0
5696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5697,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5698,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
5699,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
5704,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5705,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0
5712,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
5713,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
5720,0,0,0,1,1,0,0,0,0,144,0,0,0,1,0
5721,0,0,0,1,0,0,1,0,0,0,1,0,0,86,1
5728,0,0,0,0,1,0,0,0,0,0,0,79,0,0,0
5729,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5730,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5731,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5737,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0
5744,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
5745,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0
5752,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
5753,1,0,0,0,1,0,0,0,0,1,0,0,88,0,1
7296,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
7297,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
7298,0,0,2,297,1,1,1,0,0,0,1,1,1,1,1
7304,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7305,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
7312,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
7313,0,0,0,0,0,1,0,42,0,0,0,0,0,0,1
7320,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7321,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
7424,1,294,1,0,0,0,0,0,1,1,0,2,2,1,3
7425,3,1,3,0,1,1,0,0,2,1,1,602,0,0,1
7426,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7427,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7432,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
7433,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
7440,0,0,0,33,2,0,0,0,0,0,0,0,0,0,2
7441,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
7448,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0
7449,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
