StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,2.74,9.42,-0.54,-0.54,0.38,103.30,3.22,0.00,9.18,0.33,6.92,4.06,0.00,9.42,8.83
1,0.00,4.06,0.00,2.01,-0.54,103.30,0.00,0.00,9.26,4.00,2.45,0.00,9.26,4.06,6.36
2,0.00,8.61,3.22,7.70,8.76,27.57,0.00,103.30,3.69,19.34,7.45,0.00,8.85,4.06,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.99,0.00
8,0.00,8.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,7.61,0.00
24,0.00,8.61,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.16,0.00,0.00,0.00
2577,0.00,2.01,0.00,-0.54,-0.54,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00
5124,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00,27.24,0.00
5125,0.00,0.00,0.00,-0.55,-0.55,34.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,27.24,0.00
5127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00
5130,0.00,41.16,0.00,0.00,0.00,0.00,-0.55,0.00,-3.22,0.00,0.00,0.00,0.00,0.00,-0.30
