ActionLabel,SunBucket,Sum,N
SetPlugZ1=OFF,0,3.0,71
SetPlugZ1=OFF,1,3.0,28
SetPlugZ1=OFF,2,1.0,1
SetPlugZ1=OFF,3,1.0,2
SetPlugZ1=ON,0,34.0,91
SetPlugZ1=ON,1,35.0,74
SetPlugZ1=ON,2,5.0,10
SetPlugZ1=ON,3,6.0,12
SetSpotlight=OFF,0,1.0,3
SetSpotlight=OFF,1,1.0,5
SetSpotlight=OFF,2,1.0,4
SetSpotlight=ON,0,413.5,418
SetSpotlight=ON,1,357.5,381
SetSpotlight=ON,2,353.0,355
SetSpotlight=ON,3,19.0,19
SetZ1Blinds=OFF,0,0.0,33
SetZ1Blinds=OFF,1,0.0,24
SetZ1Blinds=OFF,2,0.0,5
SetZ1Blinds=ON,0,0.0,8
SetZ1Blinds=ON,1,0.0,14
SetZ1Blinds=ON,2,3.0,8
SetZ1Blinds=ON,3,8.0,12
SetZ1Light=OFF,0,4.0,7
SetZ1Light=OFF,1,2.0,6
SetZ1Light=OFF,2,2.0,2
SetZ1Light=OFF,3,1.0,3
SetZ1Light=ON,0,2.0,4
SetZ1Light=ON,1,17.0,21
SetZ1Light=ON,2,12.0,16
SetZ2Blinds=OFF,0,0.0,35
SetZ2Blinds=OFF,1,0.0,245
SetZ2Blinds=OFF,2,0.0,4
SetZ2Blinds=OFF,3,0.0,1
SetZ2Blinds=ON,0,0.0,3
SetZ2Blinds=ON,1,4.0,239
SetZ2Blinds=ON,2,2.0,6
SetZ2Blinds=ON,3,8.0,16
SetZ2Light=OFF,0,44.0,45
SetZ2Light=OFF,1,3.0,7
SetZ2Light=OFF,2,0.0,3
SetZ2Light=OFF,3,0.0,1
SetZ2Light=ON,0,425.0,425
SetZ2Light=ON,1,690.0,692
SetZ2Light=ON,2,315.0,315
SetZ2Light=ON,3,7.0,7
