StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,1,2,337,1,4,1,1,0,1,1,1,0
1,0,0,1,306,2,0,0,2,1,3,1,0,5
2,0,2,3,307,1,0,0,1,1,1,3,0,1
3,0,0,0,5,0,0,0,0,0,0,0,0,0
4,0,0,0,9,0,0,0,0,0,0,0,0,0
5,0,0,0,5,0,0,0,0,0,0,0,0,0
6,0,0,0,8,0,0,0,0,0,0,0,0,0
7,0,0,0,6,0,0,0,0,0,0,0,0,0
16,0,0,0,6,0,0,0,0,0,0,0,0,0
20,0,0,0,4,0,0,0,0,0,0,0,0,0
32,0,0,0,10,0,0,0,0,0,0,0,0,0
36,0,0,0,9,0,0,0,0,0,0,0,0,0
48,0,0,0,5,0,0,0,0,0,0,0,0,0
52,0,0,0,7,0,0,0,0,0,0,0,0,0
128,0,0,0,6,0,0,0,0,0,0,0,0,0
129,0,0,0,5,0,0,1,0,0,1,0,0,0
130,0,0,0,8,1,0,0,1,0,0,0,0,0
131,1,0,0,8,0,0,0,0,1,0,1,0,0
144,0,0,0,7,0,0,0,0,0,0,0,0,0
160,0,0,0,8,0,0,0,0,0,0,0,0,0
176,0,0,0,4,0,0,0,0,0,0,0,0,0
1297,0,0,0,10,0,0,0,0,0,0,0,0,0
1301,0,0,0,4,0,0,0,0,0,0,0,0,0
1313,0,0,0,7,0,0,0,0,0,0,0,0,0
1317,0,0,0,7,0,0,0,1,0,0,0,0,0
1425,1,0,0,7,0,0,0,0,0,0,0,0,0
1441,0,0,0,6,0,0,0,0,0,0,0,0,0
2568,1,2,0,3,2,0,1,0,2,0,0,338,0
2569,2,1,1,0,0,1,1,0,2,1,1,302,2
2570,0,3,1,2,3,3,0,2,2,1,0,301,0
2571,0,0,0,0,0,0,0,0,0,0,0,7,0
2572,0,0,0,0,0,0,0,0,0,0,0,13,0
2573,0,0,0,0,0,1,0,0,0,0,0,5,0
2574,0,0,0,0,0,0,0,12,0,0,0,0,0
2575,0,0,0,0,0,0,0,0,0,8,0,0,0
2578,0,0,0,6,0,0,0,0,0,0,0,0,0
2582,0,0,0,2,0,0,0,0,0,0,0,0,0
2584,0,0,0,0,1,0,0,0,0,0,0,7,1
2585,0,0,0,0,0,0,0,0,0,0,0,12,0
2588,0,0,0,0,0,0,0,0,0,0,0,7,0
2589,0,0,0,0,0,0,0,7,0,0,0,0,0
2594,0,0,0,7,0,0,0,0,0,0,0,0,0
2598,0,0,0,5,0,0,0,0,0,0,0,0,0
2600,0,1,0,0,0,0,0,0,0,0,0,11,0
2601,0,1,0,0,0,0,0,0,0,0,0,9,0
2604,0,1,0,0,0,0,0,0,0,0,0,10,0
2605,0,0,0,0,0,0,0,9,0,1,0,0,0
2609,0,0,0,8,0,0,0,1,0,0,0,0,0
2613,0,0,0,8,0,0,0,0,0,0,0,0,0
2616,0,7,0,0,0,0,0,0,0,0,0,0,0
2617,0,0,0,0,0,0,0,0,0,0,0,9,0
2620,1,0,1,0,0,0,0,0,0,1,0,14,0
2621,0,0,0,0,0,0,0,0,0,0,1,10,0
2696,0,6,0,0,0,0,0,0,0,0,0,0,0
2697,0,0,0,0,0,0,0,0,0,0,0,8,0
2698,0,0,0,0,0,0,0,0,0,0,0,14,0
2699,0,0,0,0,0,8,0,0,0,0,0,0,0
2706,0,0,0,5,0,0,0,0,0,0,0,0,0
2712,0,0,0,0,0,0,0,0,0,0,0,9,0
2713,0,10,0,0,0,0,0,0,0,0,0,0,0
2722,0,0,0,5,0,0,0,0,1,0,0,0,0
2728,0,0,0,0,0,0,0,0,0,0,0,10,0
2729,0,0,0,0,0,0,0,0,0,0,0,13,0
2737,1,0,0,7,0,0,0,0,0,0,0,0,0
2744,0,0,0,0,0,0,0,0,0,0,0,5,0
2745,0,0,0,0,0,0,0,0,0,0,0,11,0
2880,0,11,0,1,0,1,0,0,0,0,40,0,1
2881,0,8,0,0,0,0,0,0,0,0,0,0,0
2883,0,5,0,0,0,0,1,0,0,0,0,0,0
2884,45,1,0,0,0,0,0,0,1,0,1,0,12
2885,4,0,0,1,0,0,0,0,0,131,1,0,0
2886,0,0,0,0,0,0,0,0,0,4,0,0,0
2887,0,0,0,0,0,0,0,0,0,8,0,0,0
2896,0,12,0,0,0,0,0,0,0,0,0,0,0
2897,0,14,0,0,0,0,0,0,0,0,0,0,0
2900,9,0,0,0,0,0,0,0,12,0,0,0,1
2901,7,0,2,0,0,0,0,0,133,2,0,1,1
2912,0,12,0,0,2,1,0,0,0,1,1,0,1
2913,0,9,0,0,0,0,0,0,1,1,1,1,0
2916,12,0,0,0,20,0,1,2,0,0,2,0,11
2917,9,1,0,0,1,0,0,0,0,95,1,0,2
2928,0,9,0,0,0,0,0,0,0,0,0,0,0
2929,0,4,0,0,0,0,1,0,0,0,0,0,0
2932,0,0,0,0,0,0,0,0,19,0,0,0,0
2933,1,0,0,0,0,0,1,0,99,0,0,0,0
3008,0,9,0,0,0,1,0,0,0,0,0,0,0
3009,0,8,0,0,0,0,0,0,0,0,0,0,0
3010,0,5,0,0,0,0,0,0,0,0,0,0,0
3011,0,6,0,0,0,0,1,0,0,0,0,0,0
3024,0,9,0,1,0,0,0,0,0,0,0,0,0
3025,0,7,0,0,0,0,0,0,0,0,0,0,0
3040,0,6,0,0,0,0,0,0,0,0,0,0,1
