StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,0,316,0,1,0,0,1,0,1,0,1,1,2,2,1
1,0,313,0,1,1,0,1,1,2,1,2,0,0,2,1
2,2,305,2,0,3,0,1,0,1,2,1,1,0,1,1
3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
16,1,6,0,0,0,0,0,0,0,0,2,0,0,1,0
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2569,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5124,0,2,1,1,1,312,1,1,1,1,2,1,1,1,0
5125,3,0,0,4,1,1,0,0,1,4,1,303,0,0,0
5126,0,1,1,299,0,2,1,2,0,2,0,1,1,0,1
5127,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5130,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5132,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
5133,0,0,1,11,2,0,0,0,1,0,1,0,2,0,0
5138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5140,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
5141,0,1,0,0,0,0,0,0,1,11,1,0,0,0,0
5145,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5149,0,0,1,1,0,0,0,0,0,1,0,30,1,0,0
5664,0,1,2,0,1,0,1,1,0,2,1,1,1,0,178
5665,0,0,0,1,0,15,0,0,0,5,0,0,1,0,24
5666,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
5667,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
5672,0,0,0,0,0,1,0,0,4,0,0,0,1,0,1
5673,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1
5680,1,0,4,0,0,0,0,0,0,0,0,0,2,0,89
5681,0,0,4,0,0,0,0,0,0,0,0,0,1,1,9
5688,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
5689,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5696,0,0,1,1,0,1,1,1,0,0,1,1,0,0,176
5697,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1
5698,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
5699,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1
5704,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
5705,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
5712,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5
5713,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1
5720,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5721,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
5728,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
5729,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
5730,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
5731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5736,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5737,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
5744,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
5745,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
5752,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7296,0,0,1,1,0,0,1,0,0,0,0,0,0,0,110
7297,0,0,0,0,0,17,1,0,0,0,0,0,0,0,10
7298,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7299,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
7304,0,2,0,0,0,0,2,0,4,0,0,0,0,0,98
7305,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2
7312,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
7313,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1
7320,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
7321,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
7424,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1
7425,1,3,1,13,3,2,1,2,3,2,0,327,0,0,35
7426,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7427,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1
7432,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1
7433,1,0,1,0,2,0,1,1,15,0,0,0,0,0,12
7440,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7441,0,0,11,0,1,0,1,0,0,0,0,0,2,0,1
7448,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
7449,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
7552,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
7553,1,0,0,0,0,0,23,0,0,0,1,0,0,0,1
7555,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7560,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
7561,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7569,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
7576,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
7577,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
