StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,17.56,-0.57,-1.07,238.60,20.90,-1.02,20.90,9.18,-0.35,-0.57,54.43,14.21,0.00
1,0.00,10.02,-0.71,0.00,0.00,5.19,0.00,-0.21,7.55,225.12,4.42,17.38,39.02
2,3.33,0.00,7.98,8.11,0.00,0.00,-0.57,-0.57,11.19,18.85,0.00,234.30,1.86
3,0.00,0.00,0.00,44.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,40.04,0.00,-0.57,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.28,0.00,0.00,-0.57,0.00,0.00
6,0.00,-0.57,0.00,0.00,0.00,0.00,-0.57,0.00,-0.57,0.00,-0.57,90.92,-0.57
7,-0.57,-0.57,0.00,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.80,0.00
20,0.00,-0.57,0.00,55.57,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00
32,-0.51,0.00,-1.07,0.00,0.00,0.00,-0.57,0.00,0.00,23.90,0.00,0.00,0.00
36,0.00,0.00,0.00,8.11,0.00,0.71,0.00,147.14,0.00,0.00,0.00,14.31,0.00
48,0.00,-0.57,2.40,8.11,0.00,0.00,0.00,0.00,0.00,0.00,3.84,145.82,0.00
52,-0.57,0.00,-1.07,0.00,0.00,-0.57,-0.57,0.00,31.45,0.00,0.00,0.00,-0.57
128,0.00,0.00,0.00,180.27,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,4.14
129,0.00,0.00,0.00,0.00,0.00,91.06,0.00,0.00,0.00,0.00,-0.21,0.00,0.00
130,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,-0.57,0.00,0.00,89.94,-0.57
131,0.00,0.00,0.00,82.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,0.00,0.00,0.00,0.00,-0.57,0.00,0.00,0.00,0.00,-0.57,0.00,27.91,0.00
160,0.00,0.00,0.00,0.00,34.10,0.00,0.00,0.00,0.00,-0.12,0.00,0.00,0.00
176,0.00,0.00,0.00,0.00,0.00,0.00,44.77,0.00,0.00,0.00,0.00,0.00,0.00
1297,46.46,-0.58,21.89,4.01,0.00,15.09,10.11,1.39,5.07,15.04,0.00,205.47,0.00
1301,88.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1313,0.00,-0.58,-1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.36,-0.58
1317,0.00,-0.58,0.00,0.00,-4.17,-0.58,-0.58,0.00,0.00,0.00,-0.58,98.01,0.00
1425,0.00,0.00,0.00,60.95,0.00,0.00,0.00,0.00,0.00,-0.58,0.00,0.00,0.00
1441,0.00,153.91,-1.08,0.00,0.00,0.00,0.00,0.00,0.00,4.01,0.00,0.00,0.00
2568,-1.12,-0.59,3.59,6.39,0.00,-0.59,10.08,175.00,23.46,-0.59,11.20,20.10,0.00
