StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2,1,1,302,1,2,1,1,2,1,3,1,0
1,0,2,1,0,0,1,0,1,1,305,3,1,3
2,2,0,1,1,0,0,1,1,1,2,0,302,1
3,0,0,0,4,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,3,0,1,0,0,0
5,0,0,0,0,0,0,0,9,0,0,1,0,0
6,0,1,0,0,0,0,1,0,1,0,1,6,1
7,1,1,0,2,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0,0,0,0,7,0
20,0,1,0,5,0,0,0,0,0,1,0,0,0
32,1,0,1,0,0,0,1,0,0,5,0,0,0
36,0,0,0,1,0,1,0,13,0,0,0,1,0
48,0,1,1,1,0,0,0,0,0,0,1,18,0
52,1,0,1,0,0,1,1,0,5,0,0,0,1
128,0,0,0,12,0,0,0,0,0,0,1,0,1
129,0,0,0,0,0,12,0,0,0,0,1,0,0
130,0,0,0,0,1,0,0,0,1,0,0,7,1
131,0,0,0,8,0,0,0,0,0,0,0,0,0
144,0,0,0,0,1,0,0,0,0,1,0,2,0
160,0,0,0,0,4,0,0,0,0,1,0,0,0
176,0,0,0,0,0,0,9,0,0,0,0,0,0
1297,3,1,2,1,0,2,1,3,2,2,0,323,0
1301,7,0,0,0,0,0,0,0,0,0,0,0,0
1313,0,1,1,0,0,0,0,0,0,0,0,11,1
1317,0,1,0,0,1,1,1,0,0,0,1,9,0
1425,0,0,0,7,0,0,0,0,0,1,0,0,0
1441,0,17,1,0,0,0,0,0,0,1,0,0,0
2568,2,1,2,1,0,1,1,300,3,1,2,1,0
2569,0,0,1,1,1,0,1,1,0,0,0,3,1
2570,0,0,0,0,1,2,1,0,0,0,1,0,0
2571,1,0,0,0,1,6,0,0,0,0,0,0,1
