StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,8.12,-0.54,-0.54,117.05,10.00,-0.99,10.00,4.34,0.30,-0.04,27.36,4.06,0.00
1,0.00,6.27,-0.35,0.00,0.00,2.27,0.00,-0.35,2.45,111.04,2.22,7.17,19.01
2,0.23,0.00,2.49,4.06,0.00,0.00,-0.54,-0.54,4.60,9.42,0.00,131.00,0.41
3,0.00,0.00,0.00,22.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,29.49,0.00,-0.04,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.41,0.00,0.00,-0.04,0.00,0.00
6,0.00,-0.54,0.00,0.00,0.00,0.00,-0.54,0.00,-0.04,0.00,-0.04,42.89,-0.29
7,-0.54,-0.54,0.00,9.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.67,0.00
20,0.00,-0.54,0.00,27.78,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00
32,-0.51,0.00,-0.54,0.00,0.00,0.00,-0.54,0.00,0.00,8.34,0.00,0.00,0.00
36,0.00,0.00,0.00,4.06,0.00,0.38,0.00,76.50,0.00,0.00,0.00,4.13,0.00
48,0.00,-0.54,0.45,4.06,0.00,0.00,0.00,0.00,0.00,0.00,1.23,58.03,0.00
52,-0.54,0.00,-0.54,0.00,0.00,-0.54,-0.54,0.00,19.04,0.00,0.00,0.00,-0.29
128,0.00,0.00,0.00,90.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,2.07
129,0.00,0.00,0.00,0.00,0.00,52.59,0.00,0.00,0.00,0.00,0.15,0.00,0.00
130,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,-0.04,0.00,0.00,36.67,-0.29
131,0.00,0.00,0.00,41.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,-0.04,0.00,8.61,0.00
160,0.00,0.00,0.00,0.00,16.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,0.00,0.00,0.00,0.00,0.00,0.00,13.66,0.00,0.00,0.00,0.00,0.00,0.00
1297,21.25,-0.54,6.78,2.01,0.00,7.30,2.18,0.02,0.56,3.09,0.00,101.05,0.00
1301,40.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1313,0.00,-0.54,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.25,-0.29
1317,0.00,-0.54,0.00,0.00,-2.09,-0.54,-0.54,0.00,0.00,0.00,-0.04,35.67,0.00
1425,0.00,0.00,0.00,30.47,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00
1441,0.00,85.19,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00
2568,-1.04,-0.55,1.61,3.02,0.00,-0.55,4.59,85.00,12.00,-0.05,5.86,10.05,0.00
2569,0.00,0.00,-1.65,-0.55,-0.55,0.00,-0.55,-0.55,0.00,0.00,0.00,27.24,-0.30
2570,0.00,0.00,0.00,0.00,-0.55,19.10,-0.55,0.00,0.00,0.00,-0.05,0.00,0.00
2571,-0.55,0.00,0.00,0.00,-0.55,47.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
2572,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,10.05,0.00,0.00,-0.05,0.00,0.00
2573,-0.55,0.00,0.00,0.00,-0.55,0.00,-0.55,27.24,0.00,0.00,-0.05,0.00,-0.30
2574,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,10.05,0.00
2575,0.00,0.00,0.00,0.00,0.00,47.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2578,0.00,0.00,0.00,47.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2582,0.00,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2584,0.00,7.45,-3.77,-0.55,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
2585,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.83,0.00,0.00,0.00,0.00,0.00
2588,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,61.56,0.00,-0.05,-0.05,0.00,0.00
2589,0.00,-0.55,0.00,-0.55,-0.55,0.00,-0.55,10.05,-0.05,0.00,-0.09,0.00,0.00
2594,0.00,0.00,-0.55,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,-0.05,57.24,-0.30
2598,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.09,47.09,0.00,0.00,0.00
2600,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00
2601,0.00,0.00,-1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
2604,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,0.00
2605,0.00,0.00,0.00,-0.55,1.17,-0.55,-0.55,0.00,-0.05,0.00,-0.05,0.00,-0.30
2609,0.00,0.00,0.00,0.00,41.94,-0.55,-0.55,-0.55,-2.09,0.00,0.00,0.00,-0.30
2613,-0.55,0.00,0.00,6.68,0.00,0.00,0.00,0.00,-1.11,0.00,0.00,0.00,0.00
2616,-0.55,-0.55,0.00,-0.55,-0.26,0.00,-0.55,-0.55,0.00,0.00,-0.05,0.00,0.00
2617,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
2620,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,0.00,-0.05,-0.05,0.00,0.00
2621,0.00,-0.55,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,-0.05,47.09,0.00
2696,6.82,100.50,-3.77,0.00,10.81,2.55,7.10,0.00,9.00,0.00,0.00,0.00,0.00
2697,0.00,0.00,-2.36,-1.04,0.00,-0.47,-0.55,-0.55,-0.05,0.00,-0.05,0.00,-0.30
2698,0.00,0.00,0.00,-0.55,-0.55,10.05,0.00,-0.55,0.00,0.00,-0.05,0.00,-0.30
2699,0.00,61.56,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00
2706,0.00,0.00,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2712,-0.55,0.00,0.00,-0.55,-0.55,0.00,-0.55,0.00,17.10,0.00,-0.05,0.00,-0.30
2713,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.96,0.00
2722,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00,0.00,0.00
2728,0.00,0.00,0.00,0.00,39.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,0.00,0.00,0.00
2737,-0.55,0.00,0.00,0.00,0.00,-0.55,6.97,-0.55,-1.18,0.00,0.00,0.00,-0.30
2744,0.00,0.00,-4.12,0.00,0.00,0.00,0.00,0.00,3.13,-0.05,0.00,0.00,0.00
2745,0.00,10.05,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,52.43,0.00
2880,0.00,32.24,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,-1.33,0.00,0.00
2881,8.50,-0.55,8.33,100.50,0.00,10.28,8.03,-0.96,0.00,0.00,5.86,0.00,8.75
2882,-2.07,7.31,-1.21,100.50,-1.57,0.00,7.96,0.00,15.35,0.00,-6.54,-0.13,3.85
2883,-0.55,1.17,0.00,34.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2884,0.00,0.00,0.00,77.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2885,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.43,0.00,0.00,-2.38,0.00,0.00
2886,0.00,0.00,0.00,10.05,0.00,83.74,0.00,10.05,0.00,0.00,0.00,0.00,-0.30
2887,0.00,0.00,0.00,57.24,0.00,0.00,0.00,0.00,0.00,0.00,-4.14,-0.31,0.00
2896,0.00,-1.04,0.00,0.00,-0.55,0.00,0.00,0.00,5.92,0.00,-3.15,0.00,-0.30
2897,6.31,-0.55,7.20,0.00,0.00,5.48,0.00,2.67,90.00,8.05,0.84,7.88,0.00
2900,0.00,0.00,0.00,0.00,-0.58,-0.13,-0.57,0.00,3.03,-0.07,0.00,-1.91,0.00
2901,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,52.43,0.00,0.00,0.00,0.00,0.00
2912,0.00,-0.55,-0.55,92.48,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00
2913,0.00,0.00,0.00,86.92,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
2916,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,19.23,-3.22,0.00,0.00
2917,0.00,0.00,-0.55,74.95,-0.55,0.00,-0.55,0.00,-0.13,0.00,0.00,0.00,0.00
2928,0.00,0.00,-0.55,0.00,0.00,-0.55,-0.55,-0.55,59.32,0.00,0.00,0.00,0.00
2929,0.00,0.00,0.00,65.46,0.00,2.57,-0.55,0.00,-0.05,-0.26,0.00,0.00,2.16
2932,-0.14,0.00,-0.55,0.00,0.00,0.00,-0.55,68.96,0.00,0.00,-4.14,0.00,0.00
2933,0.00,0.36,0.00,34.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,0.00,0.00,0.00
3009,0.00,0.00,0.00,0.00,0.00,-1.08,0.00,0.00,0.00,14.49,0.00,-0.18,0.00
3010,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00,-0.55,0.00,74.95,-3.77,0.00,0.00
3011,-0.55,0.00,0.00,0.00,0.00,41.16,0.00,-0.55,-0.59,0.00,0.00,0.00,-0.30
3024,0.00,52.43,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,-3.77,0.00,0.00
3025,0.00,74.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3040,0.00,0.00,0.00,27.24,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,-0.93,-0.31
3041,0.00,41.16,0.00,0.00,-0.55,0.00,0.00,0.00,-0.67,0.00,-1.18,-0.11,0.00
3056,-0.55,0.00,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00,-2.49,-4.14,0.00,0.00
3057,0.00,0.00,0.00,0.00,8.36,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3716,-7.78,0.00,0.00,0.00,14.85,0.28,-10.14,0.00,0.00,0.00,0.00,0.00,0.00
3717,-18.76,0.00,1.26,0.38,9.27,0.59,-20.61,0.25,1.79,0.40,0.51,2.00,1.21
3718,0.00,0.00,0.00,0.00,0.00,0.00,-10.14,7.02,0.00,0.00,0.00,0.00,0.00
3719,0.00,9.49,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.20
3732,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3733,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
3748,0.00,0.00,0.00,0.00,0.00,0.00,-8.40,0.00,0.00,0.00,0.00,1.76,0.00
3749,0.00,0.00,0.00,1.78,0.00,0.00,-10.09,0.00,0.00,0.00,0.00,0.00,0.00
3764,0.00,16.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97
3765,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
