StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,59.03,0.00,-0.57,0.00,0.00,262.00,0.00,0.00,22.12,0.00,-0.57,-0.43,48.71,0.00,10.42
1,20.95,0.84,3.75,0.79,0.00,0.00,-0.57,239.10,5.50,-0.72,0.00,0.00,0.00,14.22,20.71
2,0.00,-0.57,12.78,-0.57,48.59,8.11,-0.57,17.22,0.00,0.00,20.52,8.11,8.00,234.30,4.13
3,-0.57,0.00,-0.57,-0.57,0.00,0.00,-0.57,38.57,-0.57,-0.57,-0.57,0.00,-0.57,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.42,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,22.70,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,-0.57,-0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,15.67,-0.57
7,0.00,0.00,0.00,0.00,-1.07,0.00,0.00,38.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,95.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,-1.07,0.00,-0.57,0.00,-0.57,0.00,0.00,25.96,0.00,0.00,-0.57
10,0.00,0.00,0.00,0.00,0.00,52.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,-0.57,0.00,-0.57,0.00,0.00,11.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.57,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.14,0.00,0.00,0.00,0.00,-0.57,0.00,0.00
13,0.00,-0.57,0.00,-1.08,0.00,0.00,-0.57,18.07,0.00,0.00,-0.57,0.00,0.00,0.00,0.00
14,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
