StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,4,0,1,0,0,311,0,0,2,0,1,1,3,0,2
1,1,1,1,3,0,0,1,294,1,2,0,0,0,1,3
2,0,1,1,1,4,1,1,2,0,0,1,1,1,298,1
3,1,0,1,1,0,0,1,2,1,1,1,0,1,0,0
4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
6,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
7,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,1,0,1,0,0,6,0,0,1
10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
11,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
12,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0
13,0,1,0,2,0,0,1,4,0,0,1,0,0,0,0
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1
32,0,5,0,1,0,0,0,0,0,0,0,1,0,0,1
36,0,0,0,0,0,10,0,0,0,0,0,1,2,0,0
40,0,0,0,1,0,4,0,1,0,0,1,1,1,0,0
44,0,0,0,1,1,0,0,1,1,0,0,1,1,2,1
64,1,0,0,0,1,3,0,0,0,0,1,1,1,0,0
68,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1
72,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
76,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0
96,0,0,1,0,1,6,0,1,1,1,0,1,1,0,1
100,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1
108,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0
256,0,1,0,0,0,7,0,0,0,1,0,0,1,0,1
257,0,1,0,1,0,0,0,4,0,1,1,0,1,0,0
258,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0
259,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
