StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,30.37,0.00,-0.04,0.00,0.00,131.00,0.00,0.00,11.54,0.00,-0.54,-0.42,23.68,0.00,5.21
1,10.72,0.68,2.13,1.09,0.00,0.00,-0.04,119.55,3.00,0.11,0.00,0.00,0.00,10.17,10.35
2,0.00,-0.04,7.28,-0.04,23.47,4.06,-0.04,8.61,0.00,0.00,8.76,4.06,4.69,103.30,2.86
3,-0.04,0.00,-0.04,-0.04,0.00,0.00,-0.04,19.29,-0.04,-0.04,-0.54,0.00,-0.54,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.67,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,11.47,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,10.21,-0.29
7,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,19.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,49.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.00,0.00,0.00,0.00,-0.54,0.00,-0.04,0.00,-0.04,0.00,0.00,14.23,0.00,0.00,-0.29
10,0.00,0.00,0.00,0.00,0.00,26.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,-0.04,0.00,-0.04,0.00,0.00,5.77,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.95,0.00,0.00,0.00,0.00,-0.54,0.00,0.00
13,0.00,-0.04,0.00,-0.07,0.00,0.00,-0.04,9.25,0.00,0.00,-0.54,0.00,0.00,0.00,0.00
14,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,41.57,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
32,0.00,6.83,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,-0.29
36,0.00,0.00,0.00,0.00,0.00,34.32,0.00,0.00,0.00,0.00,0.00,-0.54,0.61,0.00,0.00
40,0.00,0.00,0.00,-0.04,0.00,14.16,0.00,-0.04,0.00,0.00,-0.54,-0.54,-0.54,0.00,0.00
44,0.00,0.00,0.00,-0.04,-0.54,0.00,0.00,-0.04,-0.04,0.00,0.00,-0.54,-0.54,19.43,-0.29
64,-0.04,0.00,0.00,0.00,-0.54,25.31,0.00,0.00,0.00,0.00,-0.54,-0.54,-0.54,0.00,0.00
68,0.00,0.00,0.00,0.00,0.00,10.24,0.00,0.00,0.00,0.00,-0.54,-0.54,0.00,0.00,-0.29
72,0.00,0.00,0.00,0.00,0.00,0.00,5.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,69.60,0.00
96,0.00,0.00,-0.04,0.00,-0.54,22.60,0.00,-0.04,-0.04,-0.04,0.00,-0.54,-0.54,0.00,-0.29
100,0.00,0.00,0.00,5.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,0.00,0.00,0.00,0.00,-0.54,8.61,-0.04,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,-0.29
108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,32.05,0.00,0.00,-0.54,0.00,0.00
256,0.00,-0.04,0.00,0.00,0.00,26.57,0.00,0.00,0.00,-0.04,0.00,0.00,-0.54,0.00,-0.29
257,0.00,0.33,0.00,-0.04,0.00,0.00,0.00,8.20,0.00,-0.04,-0.54,0.00,-0.54,0.00,0.00
258,0.00,-0.04,-0.04,-0.04,-0.54,4.06,-0.04,0.00,0.00,-0.04,0.00,0.00,-0.54,0.00,0.00
259,0.00,0.00,0.00,0.00,0.00,32.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,0.00,66.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,-0.04,0.00,0.00,0.00,0.00,43.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
262,0.00,-0.04,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,10.82,0.00,0.00,0.00
263,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.54,0.00,0.00
264,0.00,27.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
265,-0.04,13.52,0.00,0.00,-0.54,0.00,0.00,0.00,-0.04,-0.04,-0.54,0.00,-0.54,0.00,-0.29
266,-0.04,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00
267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.97,0.00
288,0.00,-0.04,-0.04,-0.04,-0.54,10.97,-0.04,0.00,0.00,-0.04,-0.54,-0.54,-0.54,0.00,0.00
292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.72,0.00,0.00,0.00,0.00,0.00,0.00
296,-0.04,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,-0.07,1.52,0.00,-0.54,0.00,0.00
320,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.87,0.00
324,0.00,0.00,-0.04,0.00,-0.54,0.00,8.47,0.00,0.00,0.00,-0.54,-0.51,0.00,0.00,0.00
328,0.00,4.96,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00
352,-0.04,0.00,-0.04,-0.04,0.00,19.16,-0.04,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00
356,2.32,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.54,0.00,0.00
360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,10.15,0.00
2593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.33,0.00,0.00,0.00,-0.54,0.00,0.00,0.00
2597,-0.04,-0.04,-0.04,0.17,-0.54,0.00,-0.04,0.00,-0.04,4.16,-2.09,-0.54,0.00,0.00,-0.29
2601,0.00,-0.04,0.00,0.00,0.00,0.00,-0.04,43.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2605,7.18,0.00,-0.04,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,-2.09,0.00,0.00,0.00,0.00
2625,0.00,-0.04,0.00,0.14,0.00,110.50,0.00,11.30,9.90,-0.04,3.56,2.01,0.00,0.00,0.00
2629,18.82,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
2633,0.00,0.00,0.00,-0.08,-0.54,21.75,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
2637,0.00,0.00,0.00,0.30,0.00,2.01,0.00,0.00,0.00,0.00,-0.36,17.74,0.00,0.00,0.00
2849,-0.04,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.04,0.00,0.00,0.00,42.32,-0.29
2853,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.41,0.00
2857,0.00,0.00,0.00,-0.04,0.00,0.00,-0.04,3.99,0.00,0.00,-2.09,-0.54,0.00,0.00,0.00
2881,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.68,0.00,0.00,0.00
2885,0.00,0.00,0.00,0.00,0.00,11.63,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00
2889,0.00,10.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5136,8.65,-0.05,-0.05,-0.05,-3.44,-0.55,8.95,0.86,0.00,0.00,13.37,-1.04,-0.55,100.50,-0.30
5137,0.00,0.00,-0.09,0.00,6.56,0.00,0.00,-0.05,0.00,-0.05,0.00,0.00,0.00,0.00,-0.30
5138,0.00,0.00,-0.05,0.00,0.00,0.00,-0.05,0.00,-0.05,-0.05,-0.55,41.16,0.00,0.00,-0.30
5139,0.00,0.00,-0.05,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5140,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,19.10,-0.30
5141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.82,0.00,0.00,0.00,0.00,0.00
