StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,0,4,1,3,319,1,0,2,0,4,0,1,0,1
1,1,3,1,2,1,0,1,0,1,1,2,303,2,0,1
2,1,0,2,2,0,1,0,3,2,2,1,295,1,1,1
3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
4,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0
5,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1
6,0,1,0,2,0,0,1,1,0,0,1,0,0,3,0
7,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
8,0,0,1,0,0,2,2,0,0,0,1,0,1,0,0
9,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0
10,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1
11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0,0,1,0,0,13,0,0,0,0,0,1,1,0,0
44,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1
64,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
68,0,0,1,0,1,2,0,1,1,1,1,0,1,0,0
72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
96,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
104,0,0,1,0,1,0,4,1,1,0,0,1,0,0,1
108,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
128,0,0,1,0,1,0,0,0,0,1,0,2,0,0,1
