StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-0.04,0.00,27.22,-0.41,13.23,121.55,10.59,0.00,9.86,0.00,5.71,0.00,9.77,0.00,-0.29
1,0.99,0.92,2.06,-0.51,-0.54,0.00,0.65,0.00,2.05,0.38,3.94,103.39,11.71,0.00,-0.29
2,-0.04,0.00,3.26,0.75,0.00,4.06,0.00,11.12,8.33,0.30,7.11,121.55,10.39,-0.17,10.65
3,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,47.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,-0.04,0.00,44.56,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,-0.04,0.00,0.00,0.00,-0.54,0.00,0.00,12.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
6,0.00,-0.04,0.00,-1.02,0.00,0.00,-0.04,4.06,0.00,0.00,-0.54,0.00,0.00,27.85,0.00
7,-0.04,0.65,0.00,0.00,-0.54,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,-0.29
8,0.00,0.00,-0.54,0.00,0.00,16.75,-0.07,0.00,0.00,0.00,-0.54,0.00,-0.54,0.00,0.00
9,0.00,0.00,0.00,0.00,-0.54,14.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00
10,0.00,0.00,-0.54,0.00,-0.54,0.00,0.00,0.00,0.00,11.89,0.00,0.00,0.00,0.00,-0.29
11,0.00,0.00,0.00,0.00,0.00,9.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,5.65,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.06,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.09,0.00,0.00,0.00,0.00,0.00
32,0.00,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,1.25,0.00,0.00,60.46,0.00,0.00,0.00,0.00,0.00,-0.54,-0.54,0.00,0.00
44,-0.04,-0.04,3.97,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
64,-0.04,-0.04,0.00,-0.17,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,-0.54,0.00
68,0.00,0.00,-0.54,0.00,-0.54,9.42,0.00,-0.04,-0.04,-0.04,-0.54,0.00,-0.54,0.00,0.00
72,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.65,0.00,0.00,0.00,10.17,0.00
96,-0.04,-0.01,0.00,0.00,0.00,0.00,0.30,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,0.00,0.00,0.00,0.00,0.00,21.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,0.00,0.00,-0.54,0.00,-0.54,0.00,9.25,-0.04,-0.04,0.00,0.00,-0.54,0.00,0.00,-0.29
108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.65,0.00,0.00,0.00,0.00,0.00
128,0.00,0.00,-0.54,0.00,-0.54,0.00,0.00,0.00,0.00,0.04,0.00,0.81,0.00,0.00,-0.29
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.60,0.00,0.00,0.00,0.00,0.00,-0.54,0.00
130,0.00,-0.04,-0.54,0.00,-0.54,0.00,0.00,0.00,-0.04,0.00,0.00,15.65,0.00,0.00,0.00
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00
136,0.00,0.00,0.00,0.00,0.00,27.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,0.00,-0.04,0.00,0.00,0.00,26.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,0.00,0.00,0.00,41.71,-0.54,0.00,0.00,0.00,-0.04,0.00,0.38,0.00,-0.54,-0.54,-0.29
139,0.00,0.00,-0.54,19.32,-0.54,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,-0.04,0.00,0.00,0.00,-0.54,0.00,-0.04,-0.04,-0.04,19.99,0.00,0.00,-0.48,0.00,0.00
168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,-0.04,0.00,0.00,36.05,0.00,0.00,0.00,0.00,-0.04,0.00,-0.54,-0.54,0.00,-0.54,0.00
200,0.00,0.00,0.00,19.35,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00
224,-0.04,0.00,0.00,0.00,-0.54,32.54,-0.04,0.00,-0.04,0.08,0.00,0.00,0.00,-0.54,0.00
232,0.00,0.00,0.00,19.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,-0.29
256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.91,0.00,0.00,0.00,0.00,-0.54,0.00
257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.51,0.00,0.00,0.00,0.00,0.00,0.00
258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.56,0.00,0.00,0.00
259,0.00,0.00,0.00,0.00,0.00,4.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260,0.00,0.00,0.00,0.00,0.00,16.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
