StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,2,0,3,1,1,302,2,0,2,1,4,0,0,1,1
1,0,0,1,0,1,1,1,0,2,301,1,1,1,2,1
2,1,301,0,1,1,0,0,0,0,0,3,2,1,0,1
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
16,0,0,0,0,1,5,1,0,0,0,0,0,0,0,1
24,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
2569,1,3,2,0,1,0,0,0,1,2,2,297,2,1,1
2577,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
5125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5126,0,3,0,2,1,1,0,0,2,1,1,2,0,298,2
5127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5130,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5132,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
5133,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
5138,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
5140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5141,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
5145,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
5148,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
5664,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1
5665,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
5666,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0
5667,0,0,1,0,0,0,0,1,0,0,0,0,0,13,0
5672,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
5673,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
5680,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0
5681,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
5688,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
5689,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
5696,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5697,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
5698,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5699,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5704,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5705,1,1,1,1,0,2,2,291,2,0,1,0,0,0,3
5712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5713,0,8,0,1,0,0,0,0,8,1,0,0,0,0,0
5721,0,5,1,1,0,0,1,0,0,0,1,0,0,5,0
5729,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
5730,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5731,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
5736,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0
5737,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
5745,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
5752,1,0,1,0,0,0,0,0,0,0,0,97,0,0,1
5753,1,0,0,0,1,0,0,0,1,0,0,0,6,1,0
7296,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
7297,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
7298,0,0,0,3,0,0,0,17,0,0,0,0,1,0,0
7299,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
7305,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
7312,0,0,0,30,0,0,1,0,0,0,0,5,0,0,0
7313,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
7320,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
7321,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0
7424,0,299,0,0,1,1,2,1,1,1,1,1,1,1,2
7425,0,0,0,1,1,0,0,0,0,1,0,302,2,1,1
7427,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7432,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7433,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0
7440,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0
7441,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7448,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
7449,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7552,0,0,1,0,0,7,0,1,0,0,2,7,0,0,0
7553,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0
7554,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
7555,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0
7560,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0
7561,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
7568,0,0,0,1,1,117,0,0,0,0,1,0,0,0,0
7569,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0
7576,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7577,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
