StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,8.28,0.00,3.13,1.94,8.73,103.30,12.03,0.00,9.22,0.33,19.95,0.00,0.00,4.96,-0.29
1,0.00,0.00,0.17,0.00,-0.54,10.25,10.22,0.00,6.03,119.55,3.13,4.09,0.15,9.42,8.56
2,4.47,131.00,0.00,4.96,11.25,0.00,0.00,0.00,0.00,0.00,4.80,8.61,11.61,0.00,5.87
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.56,0.00
16,0.00,0.00,0.00,0.00,-0.54,41.77,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29
24,0.00,18.68,-0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,0.00
2569,9.16,7.97,3.85,0.00,8.52,0.00,0.00,0.00,8.67,9.86,18.76,110.50,16.84,2.01,4.73
2577,0.00,0.00,0.00,0.00,0.00,0.00,-0.54,0.00,0.00,0.00,0.00,12.08,0.00,0.00,0.00
5125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5126,0.00,12.31,0.00,19.10,6.43,10.05,0.00,0.00,13.07,10.05,1.67,19.10,0.00,100.50,13.47
5127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5130,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5132,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00
5133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,41.16,0.00
