ActionLabel,SunBucket,Sum,N
SetPlugZ1=OFF,0,3.0,56
SetPlugZ1=OFF,1,3.0,20
SetPlugZ1=OFF,2,1.0,13
SetPlugZ1=OFF,3,1.0,11
SetPlugZ1=ON,0,36.0,77
SetPlugZ1=ON,1,44.0,88
SetPlugZ1=ON,2,12.0,25
SetPlugZ1=ON,3,5.0,18
SetSpotlight=OFF,0,0.0,6
SetSpotlight=OFF,1,2.0,8
SetSpotlight=OFF,2,1.0,3
SetSpotlight=ON,0,394.0,395
SetSpotlight=ON,1,353.0,372
SetSpotlight=ON,2,346.5,348
SetSpotlight=ON,3,13.0,13
SetZ1Blinds=OFF,0,0.0,37
SetZ1Blinds=OFF,1,0.0,27
SetZ1Blinds=OFF,2,0.0,1
SetZ1Blinds=ON,0,0.0,7
SetZ1Blinds=ON,1,2.0,340
SetZ1Blinds=ON,2,4.0,6
SetZ1Blinds=ON,3,3.0,7
SetZ1Light=OFF,0,4.0,8
SetZ1Light=OFF,1,4.0,13
SetZ1Light=OFF,3,1.0,1
SetZ1Light=ON,0,1.0,4
SetZ1Light=ON,1,1.0,8
SetZ1Light=ON,2,11.0,15
SetZ2Blinds=OFF,0,0.0,37
SetZ2Blinds=OFF,1,0.0,398
SetZ2Blinds=OFF,2,0.0,2
SetZ2Blinds=OFF,3,0.0,1
SetZ2Blinds=ON,0,0.0,4
SetZ2Blinds=ON,1,3.0,400
SetZ2Blinds=ON,2,17.0,28
SetZ2Blinds=ON,3,4.0,10
SetZ2Light=OFF,0,42.0,44
SetZ2Light=OFF,1,2.0,8
SetZ2Light=ON,0,420.0,421
SetZ2Light=ON,1,689.0,695
SetZ2Light=ON,2,297.0,297
SetZ2Light=ON,3,12.0,12
