ActionLabel,SunBucket,Sum,N
SetMasterSwitch=OFF,0,3.0,73
SetMasterSwitch=OFF,1,1.0,42
SetMasterSwitch=OFF,2,0.0,10
SetMasterSwitch=OFF,3,1.0,2
SetMasterSwitch=ON,0,24.0,122
SetMasterSwitch=ON,1,12.0,96
SetMasterSwitch=ON,2,4.0,26
SetMasterSwitch=ON,3,3.0,11
SetPlugZ1=OFF,0,4.0,57
SetPlugZ1=OFF,1,2.0,30
SetPlugZ1=OFF,2,0.0,10
SetPlugZ1=OFF,3,0.0,1
SetPlugZ1=ON,0,43.0,92
SetPlugZ1=ON,1,338.0,384
SetPlugZ1=ON,2,11.0,26
SetPlugZ1=ON,3,8.0,13
SetSpotlight=OFF,0,1.0,2
SetSpotlight=OFF,1,0.0,5
SetSpotlight=OFF,2,0.0,1
SetSpotlight=ON,0,415.0,418
SetSpotlight=ON,1,355.5,381
SetSpotlight=ON,2,348.5,350
SetSpotlight=ON,3,19.0,20
SetZ1Blinds=OFF,0,0.0,15
SetZ1Blinds=OFF,1,0.0,14
SetZ1Blinds=ON,0,0.0,3
SetZ1Blinds=ON,1,1.0,28
SetZ1Blinds=ON,2,26.0,26
SetZ1Blinds=ON,3,1.0,2
SetZ1Light=OFF,0,3.0,6
SetZ1Light=OFF,1,3.0,8
SetZ1Light=OFF,2,0.0,3
SetZ1Light=OFF,3,1.0,1
SetZ1Light=ON,0,4.0,6
SetZ1Light=ON,1,19.0,26
SetZ1Light=ON,2,0.0,5
SetZ1Light=ON,3,4.0,4
SetZ2Blinds=OFF,0,0.0,18
SetZ2Blinds=OFF,1,0.0,27
SetZ2Blinds=OFF,2,0.0,3
SetZ2Blinds=OFF,3,0.0,4
SetZ2Blinds=ON,0,0.0,1
SetZ2Blinds=ON,1,0.0,13
SetZ2Blinds=ON,2,300.0,305
SetZ2Blinds=ON,3,20.0,29
SetZ2Light=OFF,0,30.0,31
SetZ2Light=OFF,1,8.0,12
SetZ2Light=OFF,2,1.0,2
SetZ2Light=OFF,3,1.0,2
SetZ2Light=ON,0,407.0,408
SetZ2Light=ON,1,374.0,375
SetZ2Light=ON,2,1.0,1
SetZ2Light=ON,3,4.0,4
