StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,0,2,1,0,322,0,1,1,0,2,1,0,1,1
1,0,0,1,1,1,298,0,0,1,2,0,0,3,0,1
2,0,0,1,0,1,297,0,2,1,2,2,0,0,0,0
3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0
10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0
32,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
76,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
108,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
258,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
262,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
264,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
265,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
