StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-100.00,31.65,-100.00,22.50,-100.00,238.60,-70.84,-85.79,-100.00,-74.00,-100.00,-100.00,-100.00,-100.00,0.00
1,-69.10,22.50,-100.00,23.73,-100.00,238.60,-100.00,31.14,-100.00,-73.66,-84.95,26.97,-83.91,-86.52,0.00
2,-47.92,26.67,-76.79,22.50,-77.29,262.00,-100.00,22.50,-100.00,-86.52,-84.37,22.50,-100.00,-74.00,0.00
3,-100.00,22.50,-100.00,22.50,-100.00,58.35,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,0.00
4,-100.00,22.50,0.00,-100.00,-100.00,68.84,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,22.50,0.00
5,-100.00,22.50,0.00,-100.00,-100.00,91.15,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
6,-100.00,22.50,0.00,-100.00,-100.00,81.02,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,3.48
7,-100.00,22.50,0.00,-100.00,-100.00,45.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,-100.00,22.50,0.00
8,0.00,-100.00,-100.00,22.50,-100.00,132.63,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,-100.00,0.00
9,0.00,-100.00,-100.00,22.50,-100.00,95.40,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,-100.00,0.00
10,0.00,-100.00,-100.00,22.50,-100.00,68.84,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,-100.00,0.00
11,0.00,-100.00,-100.00,22.50,-100.00,56.45,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,-100.00,0.00
12,0.00,-100.00,0.00,-100.00,-100.00,90.12,-100.00,-100.00,-100.00,22.50,-100.00,-100.00,-100.00,22.50,0.00
13,0.00,-100.00,0.00,-100.00,-100.00,96.21,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
14,0.00,-100.00,0.00,-100.00,-100.00,80.16,-100.00,22.50,-100.00,22.50,-100.00,22.50,-100.00,22.50,0.00
