ActionLabel,SunBucket,Sum,N
SetPlugZ1=OFF,0,3.0,60
SetPlugZ1=OFF,1,3.0,34
SetPlugZ1=OFF,2,1.0,3
SetPlugZ1=ON,0,55.0,429
SetPlugZ1=ON,1,29.0,361
SetPlugZ1=ON,2,1.0,5
SetPlugZ1=ON,3,2.0,3
SetPlugZ2=OFF,0,5.0,50
SetPlugZ2=OFF,1,3.0,23
SetPlugZ2=OFF,2,0.0,8
SetPlugZ2=OFF,3,1.0,1
SetPlugZ2=ON,0,28.0,90
SetPlugZ2=ON,1,329.0,383
SetPlugZ2=ON,2,11.0,20
SetPlugZ2=ON,3,8.0,8
SetSpotlight=OFF,0,1.0,3
SetSpotlight=OFF,1,3.0,7
SetSpotlight=OFF,2,0.0,2
SetSpotlight=OFF,3,1.0,1
SetSpotlight=ON,0,409.0,411
SetSpotlight=ON,1,374.5,402
SetSpotlight=ON,2,377.0,378
SetSpotlight=ON,3,23.0,23
SetZ1Blinds=OFF,0,0.0,17
SetZ1Blinds=OFF,1,1.0,103
SetZ1Blinds=OFF,2,0.0,3
SetZ1Blinds=ON,0,0.0,4
SetZ1Blinds=ON,1,2.0,110
SetZ1Blinds=ON,2,3.0,7
SetZ1Blinds=ON,3,13.0,13
SetZ1Light=OFF,0,3.0,5
SetZ1Light=OFF,1,2.0,5
SetZ1Light=OFF,2,1.0,3
SetZ1Light=OFF,3,1.0,1
SetZ1Light=ON,0,348.0,352
SetZ1Light=ON,1,316.0,321
SetZ1Light=ON,2,0.0,1
SetZ1Light=ON,3,8.0,8
SetZ2Blinds=OFF,0,0.0,16
SetZ2Blinds=OFF,1,0.0,16
SetZ2Blinds=OFF,2,0.0,3
SetZ2Blinds=OFF,3,0.0,2
SetZ2Blinds=ON,0,0.0,2
SetZ2Blinds=ON,1,1.0,30
SetZ2Blinds=ON,2,328.0,331
SetZ2Blinds=ON,3,5.0,5
SetZ2Light=OFF,0,4.0,5
SetZ2Light=OFF,1,4.0,7
SetZ2Light=OFF,2,0.0,1
SetZ2Light=OFF,3,1.0,1
SetZ2Light=ON,0,39.0,41
SetZ2Light=ON,1,72.0,77
SetZ2Light=ON,2,4.0,6
SetZ2Light=ON,3,1.0,1
