StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,2,0,0,0,298,1,1,0,2,0,0,0,0,0
1,1,0,0,1,0,294,0,2,0,2,1,1,1,1,0
2,2,2,1,0,1,298,0,0,0,1,1,0,0,2,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
130,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1
136,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
232,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
256,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0
263,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
356,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2597,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2601,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
2605,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2625,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2629,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2637,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2721,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2729,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2761,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2849,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2853,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2881,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2977,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3009,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
