StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Eff=OFF,SetZ1Eff=ON,SetZ1Ineff=OFF,SetZ1Ineff=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Eff=OFF,SetZ2Eff=ON,SetZ2Ineff=OFF,SetZ2Ineff=ON,DO_NOTHING
0,2,323,0,1,1,1,2,1,1,0,0,1,0,2,0
1,2,334,1,3,0,1,0,0,0,0,1,1,1,0,1
2,0,303,2,0,1,0,1,2,2,0,1,0,1,1,0
3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0
16,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2569,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0
5124,0,2,0,1,1,318,1,1,1,4,3,0,0,1,0
5125,1,0,2,5,0,0,1,0,0,5,2,323,1,0,0
5126,1,0,2,298,1,1,1,0,1,3,3,0,0,0,5
5127,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
5130,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5132,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
5133,0,0,1,9,1,0,0,0,0,0,0,0,2,0,0
5140,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0
5141,0,0,0,0,0,0,0,0,0,15,0,1,0,0,1
5145,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5148,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
5149,0,0,0,0,1,0,1,0,0,0,0,27,1,1,2
5664,1,1,0,0,0,1,1,1,0,0,1,0,1,1,116
5665,0,1,0,0,0,0,0,0,0,1,0,0,14,0,0
5666,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
5667,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1
5672,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5673,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
5680,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5
5681,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5688,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5689,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1
5696,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
5697,0,1,0,1,1,1,0,0,2,1,1,0,0,1,235
5698,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
5699,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
5704,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
5705,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
5712,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
5713,1,0,4,0,0,0,0,0,0,0,1,0,0,0,88
5720,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1
5721,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5728,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5729,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
5730,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5731,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
5736,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
5737,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
5744,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
5745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5752,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5753,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7296,0,0,0,0,1,0,10,0,0,0,0,0,0,0,13
7297,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0
7298,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
7299,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
