StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,-0.55,-1.05,15.48,101.80,3.02,7.50,9.79,6.23,-0.57
1,7.35,6.52,3.40,10.00,0.00,0.10,0.00,89.50,0.28
2,8.12,0.00,1.16,101.80,9.67,0.00,14.60,3.37,14.66
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.44,0.00
4,0.00,-0.56,0.00,85.96,0.00,0.00,3.07,0.00,0.00
8,0.00,0.00,-0.56,0.00,-0.10,-0.05,0.00,-2.17,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.61,0.00
69,3.97,0.00,0.00,0.00,0.00,0.54,0.00,56.72,0.00
134,0.00,0.00,0.00,0.00,59.61,0.00,0.00,0.00,0.00
199,0.00,71.76,0.00,0.00,0.00,0.85,0.00,0.00,0.00
208,0.00,0.00,-0.55,92.82,0.00,0.00,0.00,0.00,0.00
209,8.45,13.65,12.27,100.00,16.96,3.64,6.41,8.95,30.52
210,2.11,90.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,0.00,0.00,0.00,0.00,0.00,79.20,0.00,-0.05,0.00
212,-0.55,-0.65,0.00,0.00,0.00,0.00,0.85,-2.74,-0.34
213,0.00,0.00,0.00,95.76,0.00,0.00,0.00,-0.10,0.00
214,0.00,0.00,0.00,65.13,0.00,0.00,0.00,0.00,0.00
215,-0.55,0.00,0.00,99.21,0.00,0.00,0.00,0.00,0.00
216,-0.55,0.00,0.00,10.00,0.00,-0.12,0.00,-4.84,-0.35
220,-1.31,-0.59,-1.20,0.00,-0.05,-4.95,0.00,-0.44,-1.46
265,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,57.20,-0.30
333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.20,-0.30
473,6.92,0.00,0.00,0.00,0.02,85.04,-0.08,0.00,0.00
477,0.80,0.00,0.00,99.73,6.71,-0.25,-0.10,-0.06,0.00
522,-1.61,-1.08,-0.55,0.00,-0.05,-2.58,0.00,0.00,-0.30
654,-6.50,0.00,0.00,10.02,0.00,0.00,0.00,-4.61,0.00
730,-3.02,12.92,3.14,97.50,3.05,0.00,0.00,0.00,2.53
734,-3.44,-1.91,-1.64,10.00,8.15,-0.50,-0.05,-5.00,0.00
779,0.00,0.00,2.09,0.00,0.00,1.49,0.00,0.00,0.00
800,0.58,0.22,-3.29,0.70,0.72,0.62,0.00,2.00,0.31
801,0.00,0.00,-9.06,0.00,0.00,0.00,0.00,1.54,0.00
802,0.00,1.62,-2.76,0.34,0.00,1.10,0.00,2.00,0.00
803,10.10,0.00,0.00,0.32,0.00,0.82,0.90,0.00,0.90
804,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
808,0.00,0.00,0.00,0.00,0.00,0.00,0.22,2.00,0.00
809,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00
810,0.00,0.29,-10.00,0.61,0.00,14.82,0.00,0.00,0.00
811,0.47,15.05,0.54,0.00,1.32,0.00,0.20,0.00,0.00
812,0.00,0.00,-10.00,0.00,3.74,0.58,0.33,0.00,0.33
869,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
877,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.73,0.00
934,0.00,11.87,0.00,0.00,0.38,0.00,0.00,0.00,0.00
942,0.78,0.00,-27.12,19.98,1.65,2.31,0.00,0.00,0.84
