StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,4,0,357,4,1,5,1,0
1,1,1,2,3,2,1,1,301,2
2,0,3,2,278,1,2,1,3,1
3,1,0,1,0,1,13,1,0,0
4,0,0,0,0,0,0,0,23,0
8,19,0,0,0,2,1,0,0,0
12,0,0,0,0,0,0,0,13,0
69,0,0,0,0,15,1,0,0,0
134,0,0,1,13,0,1,1,0,0
199,0,0,0,0,2,0,0,29,0
208,1,0,0,0,0,1,52,26,1
209,2,1,2,583,0,1,0,8,0
210,2,0,2,16,60,1,1,3,2
211,0,51,0,0,4,1,0,0,2
212,0,0,1,0,39,0,0,0,0
213,0,0,1,14,0,0,0,1,0
214,0,0,0,13,0,0,0,0,0
215,0,0,0,0,37,0,0,0,0
216,0,0,1,14,1,0,0,1,0
220,0,1,0,21,0,84,0,0,1
265,0,1,0,0,1,0,0,12,0
333,1,1,1,11,1,0,0,0,1
473,1,1,1,25,1,2,0,22,0
477,2,0,0,0,0,259,1,0,1
522,0,0,1,0,1,25,2,0,1
654,0,0,0,0,0,0,0,42,1
730,3,4,9,0,1129,1,3,2,5
734,0,0,0,1,56,0,0,0,0
779,0,0,235,2,1,1,0,0,1
800,4,1,3,4,5,2,2,653,1
801,0,12,0,0,0,0,0,0,0
802,11,1,1,1,0,0,2,293,1
803,1,277,1,0,1,0,1,0,2
804,0,0,0,0,19,0,0,0,0
808,0,0,0,0,0,0,0,10,0
809,0,0,1,0,1,0,1,24,0
810,0,0,0,0,0,16,0,0,0
811,278,0,1,0,1,1,0,0,0
812,0,0,0,134,1,0,0,0,1
869,0,0,2,9,0,0,1,9,0
877,1,364,0,0,1,1,0,0,1
934,0,28,0,1,1,0,0,0,0
942,2,0,0,2,0,1,1,67,0
