StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,8.56,-0.93,0.00,101.80,15.53,3.81,26.43,7.24,0.00
1,7.26,1.95,5.68,27.19,0.19,1.94,1.96,89.50,2.09
2,0.00,10.44,15.52,101.80,7.36,1.62,2.39,-0.44,2.14
3,-0.55,0.00,-0.55,0.00,-0.05,18.11,-0.05,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.42,0.00
8,73.06,0.00,0.00,0.00,-0.10,-0.05,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.77,0.00
69,0.00,0.00,0.00,0.00,57.51,-0.05,0.00,0.00,0.00
134,0.00,0.00,-0.55,76.48,0.00,-0.05,-0.05,0.00,0.00
199,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,59.04,0.00
208,-0.64,0.00,0.00,0.00,0.00,4.86,90.73,-1.15,-0.36
209,14.95,3.66,12.18,100.00,0.00,-0.05,0.00,36.80,0.00
210,-1.37,0.00,-1.15,81.47,-2.26,-0.05,1.66,-0.50,-0.78
211,0.00,99.54,0.00,0.00,-0.20,0.23,0.00,0.00,5.88
212,0.00,0.00,-0.55,0.00,77.71,0.00,0.00,0.00,0.00
213,0.00,0.00,-0.55,77.12,0.00,0.00,0.00,-0.05,0.00
214,0.00,0.00,0.00,74.58,0.00,0.00,0.00,0.00,0.00
215,0.00,0.00,0.00,0.00,83.70,0.00,0.00,0.00,0.00
216,0.00,0.00,-0.55,77.12,0.85,0.00,0.00,0.85,0.00
220,0.00,-0.59,0.00,89.06,0.00,-2.85,0.00,0.00,-0.34
265,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,41.27,0.00
333,-1.94,-0.55,-0.55,77.41,-0.07,0.00,0.00,0.00,-0.30
473,-2.05,-0.56,0.35,92.82,1.66,-0.10,0.00,-0.99,0.00
477,-1.38,0.00,0.00,0.00,0.00,-4.63,-0.05,0.00,-0.30
522,0.00,0.00,-0.55,0.00,-0.07,-3.50,-0.12,0.00,-0.32
654,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.66,-0.30
730,-6.57,-3.22,-4.99,0.00,-5.00,-0.06,-0.20,-0.64,-2.24
734,0.00,0.00,0.00,10.00,-4.96,0.00,0.00,0.00,0.00
779,0.00,0.00,18.12,0.38,0.76,0.20,0.00,0.00,0.24
800,1.30,0.22,-13.14,1.18,1.43,0.68,0.72,2.00,0.37
801,0.00,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
802,2.01,0.20,-6.30,0.31,0.00,0.00,0.67,2.00,0.23
803,1.55,18.92,-10.01,0.00,1.64,0.00,0.20,0.00,2.73
804,0.00,0.00,0.00,0.00,3.29,0.00,0.00,0.00,0.00
808,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00
809,0.00,0.00,-10.00,0.00,0.27,0.00,0.20,1.84,0.00
810,0.00,0.00,0.00,0.00,0.00,3.02,0.00,0.00,0.00
811,18.92,0.00,1.02,0.00,1.43,0.20,0.00,0.00,0.00
812,0.00,0.00,0.00,14.80,0.28,0.00,0.00,0.00,1.23
869,0.00,0.00,-18.69,1.73,0.00,0.00,0.20,1.23,0.00
877,0.30,19.48,0.00,0.00,0.29,0.20,0.00,0.00,0.32
934,0.00,3.51,0.00,0.24,0.23,0.00,0.00,0.00,0.00
942,0.61,0.00,0.00,0.60,0.00,0.20,0.20,2.00,0.00
