StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,20.40,0.00,29.60,0.00,11.60,129.50,0.00,-0.51,14.48,0.00,12.72
1,11.39,3.95,14.86,4.90,3.64,0.00,0.00,0.00,15.77,101.80,4.97
2,11.06,0.00,0.00,129.50,18.67,7.50,0.78,8.01,2.59,19.02,0.00
3,0.00,0.00,0.00,0.00,0.00,62.26,0.00,0.00,-0.55,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,66.19,0.00,0.00,0.00,0.00
16,-0.55,0.00,0.00,-0.05,0.00,0.00,-0.55,2.97,0.00,67.48,-0.30
24,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,52.93,0.00
649,-0.55,60.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
657,0.00,0.00,-2.05,0.00,-0.05,42.25,0.00,0.00,-0.55,0.00,-0.30
1284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.19,0.00
1285,-0.36,-0.55,-0.05,-0.05,-0.05,13.03,-0.55,0.00,0.00,0.00,0.00
1286,0.00,0.00,-0.05,0.00,0.00,-0.05,-0.55,57.27,0.00,0.00,0.00
1287,0.00,0.00,0.00,27.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1290,0.00,0.00,0.00,0.00,0.00,0.00,66.84,0.00,0.00,0.00,0.00
1292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.15,0.00
1293,-1.52,0.00,0.00,0.00,-0.05,83.32,0.00,0.00,0.00,0.00,0.00
1298,8.25,-0.15,4.25,16.78,8.94,0.00,7.71,100.00,16.05,19.00,0.00
1300,0.00,0.00,0.00,0.00,0.00,36.89,0.00,0.00,0.00,0.00,0.00
1301,-2.05,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00,-0.55,19.00,-0.30
1305,-0.55,-0.55,-1.22,-0.05,-0.05,28.72,-1.64,-0.55,-0.55,0.00,-0.30
1308,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,-0.30
1309,-0.55,-0.55,0.00,-0.05,-0.05,34.39,-0.55,0.00,-0.55,0.00,0.00
1419,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00
1422,0.00,0.00,0.20,0.00,0.00,1.37,-16.48,0.00,0.00,0.00,0.20
1440,0.00,0.00,0.00,0.00,0.20,1.23,0.59,0.00,0.00,0.00,0.00
1441,0.20,0.20,0.20,0.59,1.54,2.00,0.70,0.40,0.00,0.70,1.19
1442,0.20,0.00,0.00,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00
1443,0.00,0.00,0.20,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00
1444,0.00,0.00,0.00,0.00,0.20,1.59,0.00,0.00,-9.10,0.00,0.20
1445,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1446,0.00,0.00,0.40,0.00,0.00,0.00,0.98,0.82,0.00,0.00,0.27
1447,0.00,0.20,0.22,0.00,0.00,0.00,0.00,1.04,0.00,0.40,0.20
1448,0.00,0.00,0.00,2.54,0.00,0.00,0.25,0.00,0.00,0.00,0.00
1449,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,-9.67,0.00,0.00
1450,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,-4.71,0.59,0.00
1452,0.20,0.00,0.00,0.00,0.20,0.00,1.24,0.00,0.00,0.00,0.00
1456,1.75,0.00,0.20,1.11,0.20,0.00,1.94,0.00,-6.80,19.47,1.24
1457,0.00,1.90,0.00,0.23,0.30,0.00,0.26,0.00,0.00,0.00,0.00
1460,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1464,0.00,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00
1465,0.20,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00
1468,0.00,0.00,0.00,0.00,0.70,0.00,0.00,10.78,0.00,0.57,1.15
1811,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,52.17,-0.55,0.00,0.00
1814,0.00,0.00,0.00,0.00,0.00,34.39,0.00,0.00,0.00,0.00,0.00
1856,7.83,-0.55,-0.38,1.42,-7.78,13.41,14.28,0.00,16.05,100.00,-0.92
1857,16.85,3.58,0.00,0.00,4.41,0.00,22.90,-0.55,15.51,100.00,16.25
1858,0.00,0.00,0.00,23.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,87.84,0.00
1860,0.00,0.00,0.00,38.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1861,61.53,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,-0.30
1862,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1863,0.35,0.00,-0.61,0.00,0.00,0.00,0.00,34.39,0.00,0.00,0.00
1864,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.14,0.00
1865,-1.13,0.00,0.00,15.03,-0.91,0.00,-0.55,-0.57,-0.55,0.00,-0.30
1868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00
1872,0.00,52.38,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00
1873,0.00,79.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874,0.00,0.00,0.00,0.00,1.66,0.00,-0.55,71.76,0.00,0.00,0.00
1876,0.00,0.35,0.00,3.64,-0.05,0.00,0.00,0.00,0.00,98.92,0.00
1880,0.00,0.00,50.03,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
