StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2,1,5,1,1,333,1,0,0,0,1
1,2,2,0,0,1,309,3,1,0,0,1
2,1,2,1,3,5,306,3,0,0,1,0
3,0,0,0,0,0,0,0,13,0,0,0
8,1,0,1,0,0,0,27,0,0,0,0
16,1,0,0,0,0,22,0,0,0,0,0
24,0,0,13,0,0,0,0,0,0,0,0
649,0,10,0,0,0,0,0,0,0,0,0
657,0,0,0,0,0,12,0,0,0,0,0
1284,0,0,0,0,0,4,0,0,0,0,0
1285,1,1,1,1,2,2,1,1,1,0,1
1286,0,0,0,0,0,6,0,0,0,0,0
1287,0,1,1,0,0,0,1,3,1,0,1
1290,1,0,0,0,0,13,0,0,1,2,0
1292,0,0,0,0,0,2,0,1,0,0,0
1293,0,0,1,14,0,0,0,0,0,0,0
1298,0,0,0,0,0,0,0,0,0,14,0
1300,2,0,0,0,0,0,0,0,0,0,0
1301,0,0,0,0,0,8,0,0,0,0,0
1305,0,0,0,0,0,0,1,0,0,9,0
1308,0,0,0,1,0,2,0,0,0,0,1
1309,0,0,0,0,0,20,0,1,0,0,1
1419,2,0,0,27,1,0,0,67,2,0,0
1422,0,0,0,0,0,0,0,100,0,0,0
1440,1,12,0,1,0,0,0,0,0,0,0
1441,0,0,0,0,0,0,0,11,0,0,0
1442,0,0,0,0,0,9,0,0,0,0,1
1443,0,0,0,0,0,0,0,8,0,0,1
1444,0,0,0,0,0,20,0,0,0,0,0
1445,0,0,0,0,1,0,1,0,0,78,0
1446,0,0,0,0,1,3,0,0,1,0,0
1447,0,0,0,3,0,0,0,0,1,0,0
1448,0,6,0,0,0,0,2,0,0,0,0
1449,0,0,0,0,0,19,0,0,1,0,0
1450,2,0,1,5,1,0,1,1,3,68,1
1452,0,0,0,0,0,8,0,0,0,0,0
1456,1,1,0,4,1,3,0,1,0,54,1
1457,0,0,0,1,0,1,1,1,2,127,2
1460,0,1,1,0,1,0,54,0,0,0,0
1464,1,0,1,1,1,0,0,0,0,182,1
1465,0,20,0,0,0,0,0,0,0,0,0
1468,0,0,0,0,1,5,0,0,0,30,0
1811,0,0,0,0,0,0,1,0,2,9,1
1814,0,0,0,0,0,0,0,0,0,3,0
1856,0,2,3,0,3,26,3,1,3,359,2
1857,6,5,5,1,1,1,2,2,3,641,1
1858,1,2,1,1,1,0,1,312,2,1,1
1859,1,0,0,7,2,15,1,0,0,0,0
1860,1,1,15,0,1,0,1,0,1,10,1
1861,0,0,0,11,0,1,0,0,0,0,0
1862,0,1,0,0,0,0,0,13,0,0,0
1863,0,0,0,1,1,0,0,0,1,0,0
1864,1,0,19,0,1,0,0,1,0,15,0
1865,1,0,218,0,2,1,0,1,1,0,0
1868,2,1,154,1,0,1,0,0,0,0,1
1872,0,1,24,0,0,21,0,0,2,0,3
1873,0,0,24,0,0,7,1,0,0,0,0
1874,0,0,5,0,1,0,0,0,0,0,0
1876,0,0,0,0,0,0,1,0,0,6,1
1880,0,1,0,6,0,0,0,0,0,8,0
1881,0,0,0,0,0,0,0,0,0,13,0
1884,0,1,2,1,0,78,1,0,0,0,1
