StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,8.17,-0.55,4.07,101.80,-0.10,3.06,-0.05,0.00,0.60
1,6.21,2.84,4.16,101.80,-0.05,0.85,8.65,18.95,0.00
2,8.07,0.00,0.00,10.08,1.99,0.00,0.00,80.05,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.14,0.00
4,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,50.57,0.00
8,5.42,-0.55,-0.55,0.00,-0.14,-0.05,0.00,35.16,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.32,0.00
69,0.00,0.00,0.00,80.50,0.00,-0.05,0.00,0.00,0.00
134,0.00,0.00,0.77,10.00,0.00,0.00,0.00,73.87,0.00
199,0.00,0.00,-0.55,0.00,0.00,0.00,-3.99,0.00,0.00
208,2.64,0.00,0.00,99.43,3.64,0.02,0.00,-0.25,0.00
209,0.00,0.00,1.16,100.00,3.64,1.04,8.42,8.58,8.23
210,4.21,0.00,3.61,0.00,4.35,89.50,0.00,0.00,0.00
211,0.00,97.75,0.00,10.00,0.00,-0.05,-0.05,0.00,0.00
212,0.00,3.67,0.00,0.00,83.88,0.00,0.00,0.00,2.99
213,-0.55,12.64,-0.55,0.00,0.00,-0.10,0.00,0.00,0.00
214,7.98,7.50,-0.55,100.00,8.21,0.00,0.63,-0.05,18.78
215,-0.55,0.00,-0.60,0.00,49.44,0.00,0.00,-1.66,-0.35
216,0.00,0.00,0.00,0.00,-0.05,77.86,0.00,0.00,0.00
220,0.20,-1.41,-0.61,99.48,-0.05,-4.32,-0.36,-0.63,-1.47
265,0.00,0.00,0.00,0.00,-0.05,-0.06,0.00,66.38,0.00
333,0.00,0.00,0.00,0.00,21.63,0.00,0.00,0.00,0.00
473,-2.05,-0.56,-0.61,94.77,-0.29,-0.10,-0.05,-1.48,0.00
477,-2.89,-2.10,0.00,0.00,0.00,-4.96,-0.05,0.00,0.00
522,0.00,0.00,0.00,0.00,0.00,32.08,-0.05,0.00,0.00
654,-3.15,-0.55,0.00,83.67,0.00,0.00,0.00,0.00,-0.30
730,-4.53,-0.58,-0.97,0.00,-4.87,0.00,0.00,-0.32,0.00
734,-2.34,0.00,-0.55,0.00,-1.81,0.00,-0.05,0.00,0.00
779,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00
800,1.31,1.27,-1.61,0.61,0.72,0.42,0.64,2.00,0.72
801,0.72,0.38,0.00,0.38,0.38,0.59,0.00,2.00,0.00
802,0.29,0.00,0.00,1.55,0.00,3.50,0.31,0.00,0.42
803,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00
804,1.50,17.66,-10.00,0.00,0.00,0.00,0.22,0.00,0.00
808,0.38,0.22,-18.83,3.48,0.22,0.40,0.20,1.78,0.00
809,0.00,0.40,-10.00,0.00,0.00,0.00,0.20,1.54,0.00
810,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
811,0.23,0.00,0.00,0.26,0.00,0.00,0.00,1.30,0.00
812,17.66,0.00,-15.92,1.05,0.50,0.20,0.00,0.00,0.00
869,0.00,0.00,-10.00,0.00,0.38,0.00,0.00,1.92,0.00
877,0.00,0.00,0.00,17.58,0.26,0.00,0.00,0.00,1.29
934,0.00,1.31,-10.00,0.00,0.42,0.00,0.00,2.00,0.22
942,3.63,0.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00
