StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,1,2,301,1,2,3,1,2
1,1,3,1,306,0,0,1,2,3
2,0,2,3,1,2,2,0,286,2
3,0,16,0,0,0,0,0,0,0
4,0,1,0,0,0,0,1,17,0
8,5,0,0,0,0,0,0,0,0
12,0,0,0,0,0,2,0,14,0
69,0,0,0,0,0,0,0,13,0
134,2,0,0,18,0,1,0,0,0
199,0,10,0,0,0,0,0,0,1
208,0,0,0,0,0,0,12,0,0
209,2,3,0,281,1,1,1,1,3
210,0,1,0,298,0,0,2,0,3
211,0,21,0,0,0,8,0,0,1
212,0,0,0,30,0,0,0,1,0
213,0,0,2,18,0,0,0,0,1
214,1,13,0,0,0,0,0,0,0
215,0,0,0,0,18,1,0,0,0
216,0,0,0,0,0,16,0,0,0
220,1,2,0,37,3,0,0,0,1
265,18,0,1,0,0,0,0,0,0
333,0,1,0,22,0,0,1,0,0
473,0,0,0,29,0,0,1,0,0
477,0,0,0,0,12,0,1,0,0
522,0,0,0,0,0,12,0,0,0
654,1,0,0,22,0,0,1,1,0
730,0,0,0,45,0,0,2,1,1
734,1,0,0,0,29,1,0,1,2
779,0,1,0,30,0,0,0,0,0
800,0,587,0,0,5,2,3,4,4
801,2,2,1,0,0,325,0,0,2
802,0,0,0,0,0,12,0,1,0
803,0,0,0,0,1,49,1,0,1
804,0,0,0,0,0,0,1,26,0
808,2,3,0,2,1,2,3,592,1
809,0,0,1,0,0,0,0,20,0
810,0,1,1,1,1,21,0,0,1
811,41,0,0,0,0,0,0,0,0
812,16,0,0,0,0,0,0,0,0
869,3,357,5,2,1,1,0,1,4
877,31,1,3,1,0,1,1,358,5
934,0,46,0,1,0,0,0,0,0
942,0,1,0,0,2,2,1,98,1
