StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,31.00,-0.60,1.40,191.30,16.08,10.31,30.13,0.00,31.58
1,0.00,0.00,23.56,10.99,16.62,0.00,0.00,191.30,1.18
2,44.24,211.17,3.95,9.95,19.13,19.30,10.17,0.00,-0.60
3,0.00,0.00,0.00,0.00,-0.60,98.71,0.00,0.00,0.00
4,-0.60,0.00,0.00,131.19,0.00,0.00,0.00,0.00,0.00
8,115.28,-0.60,-0.60,0.00,-1.63,-0.60,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.45,0.00
69,0.00,0.00,0.00,106.04,0.00,0.00,0.00,0.00,0.00
134,0.00,0.00,0.00,0.00,113.74,-0.60,0.00,0.00,0.00
199,1.39,89.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,0.00,0.00,0.00,0.00,0.00,0.00,50.82,0.00,0.00
209,8.82,4.39,22.76,102.00,0.15,0.00,5.49,28.41,19.18
210,0.00,0.00,0.00,66.43,0.00,0.00,-0.27,0.00,0.00
211,0.00,66.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,0.00,35.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,0.00,0.00,0.00,90.84,0.00,0.00,0.00,0.30,0.00
214,0.00,0.00,0.00,66.43,0.00,0.00,0.00,0.00,0.00
215,-0.35,78.67,0.00,0.00,0.00,0.00,0.00,2.48,0.00
216,0.00,0.00,0.00,78.67,0.00,0.00,0.00,0.00,0.00
220,0.00,-0.01,0.01,96.66,0.00,7.43,0.00,0.00,0.02
265,0.00,0.30,-0.60,0.00,0.00,0.00,0.00,84.85,-0.60
333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.11,-0.60
473,7.33,0.00,0.00,0.00,0.00,40.71,-10.05,0.00,0.00
477,10.17,1.71,1.64,86.69,2.08,14.98,-17.39,2.58,1.05
522,0.00,16.57,0.00,20.65,0.00,0.00,3.90,191.30,3.90
654,0.00,0.00,0.00,0.00,-4.10,-0.60,-0.60,100.45,-0.60
730,1.30,16.65,15.44,102.00,0.00,5.96,6.19,0.15,8.82
734,0.00,0.00,0.00,0.00,87.01,0.89,-10.05,0.37,0.00
779,-9.15,0.00,0.00,0.00,0.00,53.21,-0.35,0.00,0.00
800,9.33,3.17,12.40,16.44,16.90,-0.35,16.60,102.00,15.83
801,0.15,0.00,0.00,0.00,-0.35,50.20,0.00,0.00,2.79
802,0.00,0.00,0.00,2.64,0.00,4.29,0.00,83.10,0.00
803,0.00,0.00,-10.05,12.97,0.00,0.00,-0.35,0.00,-0.10
804,0.00,0.00,-10.05,0.00,83.68,1.80,-0.35,0.00,0.00
808,76.01,0.00,-10.05,1.02,-0.34,0.25,-0.35,0.00,0.00
809,0.15,0.00,0.00,1.16,-0.55,75.07,0.93,10.20,0.00
810,0.00,0.00,0.00,0.00,0.00,4.18,0.00,73.19,0.00
811,0.00,12.49,0.00,0.74,0.46,0.00,0.00,0.00,0.00
812,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,76.07,0.00
869,0.00,87.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00
877,0.00,0.00,-9.15,0.00,-1.75,0.00,0.00,101.82,0.00
934,0.59,0.00,-18.79,6.02,-4.29,0.00,0.00,86.69,0.00
942,35.97,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00
