StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,14.84,-0.05,0.23,89.50,7.01,3.25,13.21,0.00,13.49
1,0.00,0.00,14.08,0.89,8.61,0.00,0.00,101.80,1.41
2,20.12,91.12,1.91,-0.05,7.53,10.62,4.22,0.00,-0.30
3,0.00,0.00,0.00,0.00,-0.55,65.80,0.00,0.00,0.00
4,-0.05,0.00,0.00,47.53,0.00,0.00,0.00,0.00,0.00
8,55.24,-0.05,-0.05,0.00,-1.49,-0.55,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.65,0.00
69,0.00,0.00,0.00,39.05,0.00,0.00,0.00,0.00,0.00
134,0.00,0.00,0.00,0.00,31.18,-0.55,0.00,0.00,0.00
199,0.23,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,0.00,0.00,0.00,0.00,0.00,0.00,-14.34,0.00,0.00
209,0.38,0.79,1.01,2.00,0.20,0.00,-1.44,1.23,0.92
210,0.00,0.00,0.00,1.30,0.00,0.00,-5.44,0.00,0.00
211,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,0.00,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,0.00,0.00,0.00,1.78,0.00,0.00,0.00,0.40,0.00
214,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00
215,0.20,1.54,0.00,0.00,0.00,0.00,0.00,3.31,0.00
216,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,0.00
220,0.00,1.25,0.68,1.90,0.00,9.90,0.00,0.00,0.36
265,0.00,0.85,-0.05,0.00,0.00,0.00,0.00,81.17,-0.30
333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.26,-0.30
473,0.38,0.00,0.00,0.00,0.00,8.80,-10.00,0.00,0.00
477,1.31,4.08,4.48,1.70,2.78,19.97,-17.29,3.43,2.03
522,0.00,9.10,0.00,1.62,0.00,0.00,3.15,101.80,3.40
654,0.00,0.00,0.00,0.00,-4.05,-0.55,-0.55,62.88,-0.30
730,0.55,0.72,0.86,2.00,0.00,0.65,-1.06,0.20,0.37
734,0.00,0.00,0.00,0.00,3.55,1.19,-10.00,0.49,0.00
779,0.85,0.00,0.00,0.00,0.00,52.17,-0.55,0.00,0.00
800,8.95,2.67,14.44,15.74,16.01,-0.55,15.89,100.00,14.97
801,-0.05,0.00,0.00,0.00,-0.55,47.11,0.00,0.00,2.20
802,0.00,0.00,0.00,2.39,0.00,3.90,0.00,81.47,0.00
803,0.00,0.00,-0.05,-4.32,0.00,0.00,-0.55,0.00,-0.30
804,0.00,0.00,-0.05,0.00,80.06,1.49,-0.55,0.00,0.00
808,72.91,0.00,-0.05,-0.34,-0.55,-0.15,-0.55,0.00,0.00
809,-0.05,0.00,0.00,-0.39,-1.08,72.42,0.66,10.00,0.00
810,0.00,0.00,0.00,0.00,0.00,3.94,0.00,71.76,0.00
811,0.00,-4.16,0.00,-0.25,-0.82,0.00,0.00,0.00,0.00
812,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,74.58,0.00
869,0.00,84.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
877,0.00,0.00,0.85,0.00,-2.08,0.00,0.00,99.82,0.00
934,-0.20,0.00,-0.15,-2.01,-4.96,0.00,0.00,84.99,0.00
942,33.69,0.00,0.00,-0.06,0.00,0.00,0.00,0.00,0.00
