StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,2,1,0,1,1,0,271,0
1,2,3,2,270,1,1,1,1,1
2,1,3,2,0,2,272,1,4,0
3,3,1,0,272,2,0,1,3,3
4,0,1,0,0,0,0,0,0,0
8,0,0,0,2,0,0,0,1,0
12,0,0,0,0,1,0,0,0,0
69,0,0,0,0,0,0,0,3,0
134,1,0,0,0,3,0,1,272,1
208,1,1,2,271,2,2,1,0,0
209,3,1,0,266,0,6,1,3,2
210,1,8,1,0,1,0,0,1,0
211,0,3,0,0,0,0,0,0,1
212,0,0,0,0,3,0,0,0,1
213,0,8,0,0,0,0,1,0,0
214,4,0,1,266,3,3,3,1,0
216,1,0,0,0,0,1,0,0,0
220,1,0,0,0,0,0,0,0,0
265,1,0,0,0,0,0,0,4,1
333,1,0,0,0,1,0,0,0,1
473,0,0,0,0,0,4,1,0,0
477,0,1,0,11,0,0,1,1,0
522,0,0,0,0,0,0,0,3,0
730,1,0,0,10,0,0,0,1,1
779,0,0,0,1,0,0,0,0,0
800,2,3,0,0,1,1,2,275,2
801,0,2,0,0,1,4,1,264,1
802,4,1,3,0,1,0,1,268,2
803,1,2,4,1,0,0,1,267,4
804,0,1,0,0,1,1,0,0,0
808,5,0,0,0,0,1,2,0,0
809,0,0,0,1,0,0,0,3,1
810,0,0,0,1,1,2,0,0,1
811,1,0,0,0,0,2,0,0,0
812,1,0,0,1,1,0,0,0,0
869,0,20,0,0,0,0,0,0,1
877,17,0,1,1,1,0,0,0,1
942,0,0,0,0,1,0,0,1,0
