StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,22.98,0.00,24.67,194.30,0.00,-0.57,12.78,19.22,8.10
1,4.81,194.17,4.33,0.00,4.33,1.98,23.98,0.00,17.74
2,38.34,13.73,23.59,222.47,18.71,4.02,45.91,0.00,0.00
3,21.94,0.00,0.00,194.30,16.92,0.00,12.93,19.35,-0.57
4,0.00,0.00,0.00,11.88,0.00,0.00,0.00,0.00,0.00
69,0.00,0.00,0.00,10.11,0.00,0.00,0.00,0.00,-0.57
134,0.00,0.00,-0.58,0.00,29.06,0.00,0.00,0.00,0.00
208,0.00,-0.34,0.00,0.00,0.00,0.00,-7.61,0.00,-0.09
209,16.55,114.80,11.95,0.00,0.00,0.17,0.00,0.00,0.00
211,0.00,0.00,0.00,0.00,0.00,2.89,0.00,0.00,-0.01
213,-0.18,0.00,-0.34,0.00,0.00,4.54,0.00,0.52,0.00
215,0.00,0.00,0.00,0.00,2.79,0.00,0.00,0.26,0.00
216,0.00,0.00,0.00,10.35,0.00,0.00,0.00,0.00,0.00
265,1.73,13.86,2.98,193.80,0.00,2.88,13.40,0.00,16.35
333,0.00,0.00,0.00,20.88,-1.22,0.00,0.00,0.00,0.00
473,-1.69,0.59,0.00,103.00,0.17,0.30,-3.45,0.00,-0.08
477,-1.68,0.00,0.00,0.00,0.00,0.00,-10.13,0.00,0.00
522,0.00,0.00,0.00,32.69,0.00,0.00,0.00,0.00,0.00
800,9.72,3.06,-5.13,7.44,5.30,0.30,24.00,103.50,28.85
802,23.36,2.69,0.00,0.00,25.30,134.80,11.45,35.59,13.85
803,4.38,0.17,-9.75,0.80,8.05,10.35,0.00,103.50,6.60
804,0.17,0.00,0.00,0.00,0.00,0.00,0.00,28.05,0.00
808,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.05,0.00
809,0.00,5.47,7.32,9.47,19.30,3.14,17.00,103.50,0.00
810,0.00,0.00,0.00,0.00,0.00,0.00,-0.34,42.38,0.00
811,0.00,0.00,0.00,0.00,0.00,10.35,0.00,0.00,-0.09
869,0.00,0.22,0.00,0.00,0.00,0.00,-0.34,0.00,0.00
877,0.00,0.94,-9.22,0.00,0.00,0.00,0.00,27.91,0.00
934,15.92,10.24,-17.73,12.94,10.60,16.87,16.20,102.50,9.01
942,43.51,0.00,0.00,0.00,-3.94,0.00,0.00,0.00,0.00
