StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,7.83,1.17,5.29,15.01,31.27,0.00,19.56,-0.60,20.01,0.67,0.00,231.30,56.20
1,2.34,1.43,0.00,15.12,0.00,3.90,-0.25,5.34,20.01,229.17,0.79,0.00,0.00
2,0.11,-0.60,0.00,7.90,0.00,259.00,0.00,5.21,0.00,18.43,53.12,13.95,22.17
3,0.00,0.00,13.52,16.81,0.00,54.20,30.95,0.00,0.00,38.00,0.00,231.30,0.00
4,37.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,28.97,0.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,20.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00,0.00,0.00,0.00
36,0.00,0.00,-1.10,0.00,0.00,-0.60,0.00,13.95,-0.60,0.00,0.00,0.00,0.00
128,0.00,0.00,0.00,0.00,0.00,0.00,17.73,0.00,0.00,0.00,-0.60,0.00,-0.60
129,0.00,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.17,0.00
130,0.00,0.00,0.00,46.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1297,20.53,0.00,13.55,18.52,8.47,10.00,9.01,-0.47,0.00,0.00,17.01,211.30,10.29
1313,0.00,0.48,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1317,0.00,0.00,0.00,0.00,0.00,0.00,0.48,23.62,0.00,0.00,0.00,0.00,-0.60
1425,0.00,0.00,0.00,12.37,0.00,0.00,0.00,0.00,-2.84,0.00,0.00,0.00,0.00
2568,-0.60,0.00,12.59,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
2569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00
2570,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,0.00,-0.60,20.00,0.00,0.00,0.00
2571,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2573,0.00,-0.60,-6.75,-1.10,-0.60,0.00,-0.60,38.00,-0.60,-0.60,0.00,0.00,-0.60
2578,0.00,0.00,0.00,0.00,0.00,54.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2582,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00
2585,-0.60,0.00,0.00,0.70,1.20,0.00,-0.60,-0.60,0.00,0.00,0.00,81.90,-0.60
2589,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00,20.00,0.00
2594,9.65,0.66,7.33,0.00,1.68,17.40,11.12,0.00,17.40,0.00,11.12,200.00,0.00
2598,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2600,0.00,-0.60,0.00,-1.10,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
2604,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60
2609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.28,0.00
2698,0.00,0.00,-7.39,0.00,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,68.78,0.00
2713,-0.60,0.00,-3.75,-1.10,0.00,0.00,-0.60,-0.60,0.00,0.00,-0.60,38.00,-0.60
2880,0.00,-0.35,2.81,102.00,5.95,-0.35,16.78,-0.35,7.95,0.29,-7.12,0.89,6.17
2881,0.00,-0.35,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
