StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,1,2,2,2,0,1,1,1,2,0,302,4
1,2,2,0,2,0,1,1,2,1,293,1,0,0
2,1,1,0,1,0,293,0,4,0,2,6,1,2
3,0,0,1,2,0,3,2,0,0,2,0,294,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,4,0,1,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,0,0,0,0,0,0,0,1,1,0,0,0
16,0,0,0,0,0,0,0,0,2,0,0,0,0
36,0,0,1,0,0,1,0,1,1,0,0,0,0
128,0,0,0,0,0,0,1,0,0,0,1,0,1
129,0,1,0,0,0,0,0,0,0,0,0,4,0
130,0,0,0,6,0,0,0,0,0,0,0,0,0
1297,2,0,1,3,2,2,1,2,0,0,2,290,1
1313,0,1,1,0,0,0,0,0,0,0,0,0,0
1317,0,0,0,0,0,0,1,2,0,0,0,0,1
1425,0,0,0,3,0,0,0,0,1,0,0,0,0
2568,1,0,1,0,0,1,1,0,0,0,0,0,0
2569,0,0,0,0,0,0,0,0,0,2,0,0,0
2570,0,0,1,0,0,0,0,0,1,1,0,0,0
2571,0,0,0,0,0,2,0,0,0,0,0,0,0
2573,0,1,1,1,1,0,1,2,1,1,0,0,1
2578,0,0,0,0,0,3,0,0,0,0,0,0,0
2582,1,0,0,0,0,0,0,0,0,1,0,0,0
2585,1,0,0,1,1,0,1,1,0,0,0,5,1
2589,0,0,0,0,1,0,1,0,0,0,0,1,0
2594,1,2,1,0,1,1,1,0,1,0,1,290,0
2598,0,0,0,2,0,0,0,0,0,0,0,0,0
2600,0,1,0,1,0,1,1,0,0,0,0,0,0
2604,0,0,1,0,0,0,0,0,0,0,1,0,1
2609,0,0,0,0,0,0,0,0,0,0,0,3,0
2698,0,0,1,0,0,0,1,1,0,0,0,4,0
2713,1,0,1,1,0,0,1,1,0,0,1,2,1
2880,0,1,1,295,1,1,2,1,3,2,2,6,2
2881,0,1,1,0,0,0,0,0,0,0,0,0,1
2882,0,0,1,1,0,0,0,0,0,0,0,0,0
2883,3,2,0,1,2,289,2,0,0,1,1,1,1
2884,0,1,1,0,0,0,0,0,0,0,1,0,1
2885,0,0,0,2,0,0,0,0,0,0,1,0,0
2887,0,0,0,0,0,0,0,1,0,0,1,0,0
2896,0,1,0,0,0,0,0,1,0,2,0,0,1
2897,1,2,2,278,3,2,3,1,1,0,4,60,3
2900,0,0,0,0,0,1,0,0,0,0,0,0,0
2901,0,0,0,0,0,0,0,0,2,0,0,0,1
2912,1,1,1,0,0,0,0,0,1,0,0,0,1
2916,0,0,0,0,0,0,0,0,0,0,0,5,0
2929,0,0,0,4,0,1,0,0,0,0,1,0,0
2932,0,0,0,0,0,1,3,1,0,0,0,1,0
3008,0,0,0,0,0,0,0,0,2,1,0,0,0
3009,0,0,1,0,0,1,0,0,0,3,0,0,0
3010,2,2,0,0,2,297,0,1,11,0,1,2,2
3024,0,2,0,0,0,0,0,0,0,0,0,0,0
3025,0,0,0,4,0,0,0,1,0,0,0,0,0
3041,0,1,0,0,0,0,0,0,0,0,0,0,0
3717,2,0,1,296,1,0,1,1,1,1,1,1,1
3733,1,0,1,0,0,0,0,0,0,0,0,0,0
3748,0,0,1,1,0,0,0,0,0,0,0,0,0
3749,0,0,0,0,0,0,0,0,0,0,0,2,0
