StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2.34,0.41,1.10,7.51,15.30,0.00,10.52,-0.55,11.41,0.94,0.00,129.50,29.63
1,0.44,0.24,0.00,7.58,0.00,1.95,-0.37,0.80,10.56,118.05,0.58,0.00,0.00
2,-0.19,-0.55,0.00,3.95,0.00,129.50,0.00,1.74,0.00,9.22,27.73,3.95,11.08
3,0.00,0.00,6.34,8.41,0.00,27.10,15.58,0.00,0.00,19.00,0.00,129.50,0.00
4,20.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,14.48,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,10.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.85,0.00,0.00,0.00,0.00
36,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,10.00,-0.05,0.00,0.00,0.00,0.00
128,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,-0.05,0.00,-0.30
129,0.00,10.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.73,0.00
130,0.00,0.00,0.00,23.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1297,9.23,0.00,5.40,9.26,1.06,3.77,1.55,-0.71,0.00,0.00,7.00,109.50,2.65
1313,0.00,0.35,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1317,0.00,0.00,0.00,0.00,0.00,0.00,0.35,19.02,0.00,0.00,0.00,0.00,-0.30
1425,0.00,0.00,0.00,6.18,0.00,0.00,0.00,0.00,-1.69,0.00,0.00,0.00,0.00
2568,-0.55,0.00,7.49,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
2569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.81,0.00,0.00,0.00
2570,0.00,0.00,-4.05,0.00,0.00,0.00,0.00,0.00,-0.05,10.00,0.00,0.00,0.00
2571,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2573,0.00,-0.55,-3.37,-0.55,-0.55,0.00,-0.55,19.00,-0.05,-0.05,0.00,0.00,-0.30
2578,0.00,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2582,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00
2585,-0.55,0.00,0.00,0.35,0.35,0.00,-0.55,-0.55,0.00,0.00,0.00,40.95,-0.30
2589,0.00,0.00,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00,0.00,0.00,10.00,0.00
2594,4.58,-0.15,3.67,0.00,0.84,8.45,5.31,0.00,8.95,0.00,5.81,100.00,0.00
2598,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2600,0.00,-0.55,0.00,-0.55,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,0.00
2604,0.00,0.00,-4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,-0.30
2609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,0.00
2698,0.00,0.00,-3.69,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00,34.39,0.00
2713,-0.55,0.00,-1.87,-0.55,0.00,0.00,-0.55,-0.55,0.00,0.00,-0.05,19.00,-0.30
2880,0.00,-0.55,2.55,100.00,5.63,-0.55,16.05,-0.55,7.18,-0.10,1.75,-0.30,5.66
2881,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
2882,0.00,0.00,-0.55,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2883,7.51,-1.05,0.00,10.00,7.37,100.00,0.66,0.00,0.00,10.00,-1.93,-0.05,5.21
2884,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.05,0.00,-0.30
2885,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.87,0.00,0.00
2887,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,-4.05,0.00,0.00
2896,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.10,0.00,0.00,-0.30
2897,-0.62,-0.97,7.79,100.00,15.06,0.67,7.42,0.35,-0.05,0.00,-3.93,6.94,7.40
2900,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2901,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,0.00,0.00,0.00,-0.30
2912,-0.55,-0.55,-0.55,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,-0.30
2916,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.25,0.00
2929,0.00,0.00,0.00,34.39,0.00,-0.55,0.00,0.00,0.00,0.00,-0.05,0.00,0.00
2932,0.00,0.00,0.00,0.00,0.00,-0.55,-1.49,10.00,0.00,0.00,0.00,-0.05,0.00
3008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.85,0.00,0.00,0.00
3009,0.00,0.00,-0.55,0.00,0.00,-0.55,0.00,0.00,0.00,3.84,0.00,0.00,0.00
3010,7.85,19.00,0.00,0.00,7.95,100.00,0.00,8.45,21.04,0.00,-3.37,7.92,8.42
3024,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3025,0.00,0.00,0.00,34.39,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00
3041,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3717,-18.04,0.00,0.20,2.00,0.35,0.00,-10.00,0.26,0.20,0.20,0.38,0.20,0.38
3733,-9.67,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3748,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3749,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00
