StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0.00,0.00,56.22,-0.64,7.26,259.00,33.97,0.28,0.00,0.00,16.61,0.12,22.60,13.95,39.70
1,7.46,-0.25,0.00,-0.79,12.70,7.90,0.00,229.17,5.52,0.00,0.00,3.90,0.63,13.95,8.67
2,22.12,-0.60,22.71,-0.60,0.00,259.00,0.00,16.81,21.13,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,14.43,0.66,8.29,16.81,16.95,200.00,0.00,-0.60,14.97,38.00,17.39,40.37,15.80
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,7.76,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,7.90,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,27.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
9,-0.60,-0.60,0.00,-0.60,-1.10,0.00,-0.60,0.00,0.00,0.00,-0.60,12.38,0.00,0.00,-0.60
10,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,7.90,-0.60,0.00,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,38.00,0.00,0.00,0.00
13,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,27.42,-0.60
64,0.00,0.00,0.82,0.00,0.00,0.00,53.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,-0.60,0.00,0.00,15.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.95,0.00
257,0.00,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83,0.00,0.00,0.00,-1.14,0.00,0.00
259,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,0.00,0.00,0.00,37.80,0.00,0.00,0.00,0.00,-0.60,1.79,0.00,0.00,0.00,0.00,0.00
265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.95,0.00
352,0.00,0.00,0.00,0.00,0.00,7.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2593,0.00,0.00,0.00,-0.60,0.00,3.90,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00
2597,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2601,0.00,0.00,-0.25,-1.14,-1.10,15.97,-0.60,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00
2625,0.00,2.28,0.00,-0.25,0.00,3.90,14.25,18.35,12.57,-1.14,17.78,0.00,0.00,211.30,0.00
2629,59.18,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00
2633,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,7.41,0.00,0.00,0.00
2857,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
2881,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,-0.60,0.00,-0.60
2889,0.00,0.00,0.00,-0.60,-1.10,3.90,-3.75,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00
5136,-0.60,-1.14,0.00,-0.60,-6.75,-1.10,15.63,-1.14,-0.60,-0.60,-0.60,-0.60,32.01,200.00,-0.60
5137,-0.60,-0.60,-0.60,0.00,0.00,-1.10,0.00,0.00,0.00,-0.60,-0.60,-0.60,-1.63,0.00,-0.60
5138,39.41,0.00,0.00,0.00,8.56,40.52,30.59,0.00,0.00,0.00,0.00,200.00,14.06,38.00,0.00
5139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5140,0.00,0.00,0.00,0.00,-8.10,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,-0.60
5141,-0.60,-0.60,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60
5144,0.00,0.00,0.00,-0.60,-8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5145,-0.60,0.00,0.00,0.00,-7.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5168,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
5169,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60
5173,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,-0.60,0.00,0.00,0.00
5177,0.00,0.00,-0.60,0.00,-3.15,-1.10,0.00,0.00,-0.60,0.00,-0.60,0.00,-0.60,20.00,-0.60
5181,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00
5186,0.00,0.00,0.00,0.00,0.00,38.00,-4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60
5190,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.14
5200,-0.60,0.00,0.00,-0.60,-4.95,-1.10,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5201,0.00,0.00,0.00,0.00,14.55,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00
5204,0.00,0.00,0.00,-0.60,-7.39,-1.10,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00
5208,0.00,-0.60,0.00,0.00,0.00,-1.10,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5209,0.00,0.00,-0.60,-0.60,0.00,-1.10,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00
5212,0.00,0.00,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
5221,0.00,0.00,-0.60,0.00,-1.10,0.00,0.00,0.00,-0.60,-0.60,-0.01,0.00,0.00,0.00,-0.60
5225,0.00,0.00,0.00,0.00,0.00,0.00,-3.75,-0.60,-0.60,-0.60,0.00,0.00,-0.60,0.00,-0.60
5232,0.00,-0.60,-0.60,0.00,-8.10,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
5233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00
5392,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60
5393,0.00,0.00,0.00,0.00,-8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
5396,0.00,0.00,-0.60,0.00,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,-0.60,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00
5425,-0.60,0.00,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,-0.60,0.00,0.00,0.00
5456,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5460,-0.60,-0.60,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60,-0.60,0.00,-0.60,0.00,-0.60
5465,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
